NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
183,1054,48,2.04,1,,,13,3429,260,209.0,0,797,3781,16.08,0.0,170,13.08,0.517,0.934,0.686,530,632,50,0.481,202,101,0.12,10,4,224,0.658,0.92
183,1054,48,2.07,1,,,13,3459,264,209.0,0,805,3815,16.08,0.0,170,13.08,0.517,0.934,0.686,530,638,50,0.39,202,101,0.12,10,4,224,0.586,1.045
183,1054,48,2.78,1,,,13,7564,643,209.0,0,1636,8278,16.08,0.0,170,13.08,0.517,0.934,0.686,530,970,50,0.646,202,89,0.05,12,7,224,0.879,1.311
183,1054,48,3.68,1,,,13,8604,723,209.0,0,1833,9448,16.08,0.0,170,13.08,0.517,0.934,0.686,530,1156,50,0.671,202,103,0.06,14,7,224,0.898,2.04
183,1054,48,2.07,1,,,13,3459,264,209.0,0,805,3815,16.08,0.0,170,13.08,0.517,0.934,0.686,530,638,50,0.561,202,101,0.12,10,4,224,0.69,0.961
183,1054,48,2.41,1,,,13,5882,468,209.0,0,1336,6462,16.08,0.0,170,13.08,0.517,0.934,0.686,530,988,50,0.55,202,95,0.07,15,6,224,0.707,1.297
183,1054,48,2.69,1,,,13,5882,468,209.0,0,1336,6462,16.08,0.0,170,13.08,0.517,0.934,0.686,530,988,50,0.604,202,95,0.07,15,6,224,0.807,1.316
183,1054,48,2.46,1,,,13,4123,319,209.0,0,986,4561,16.08,0.0,170,13.08,0.517,0.934,0.686,530,804,50,0.515,202,93,0.09,12,5,224,0.654,1.316
183,1054,48,2.75,1,,,13,7564,643,209.0,0,1636,8278,16.08,0.0,170,13.08,0.517,0.934,0.686,530,970,50,0.612,202,89,0.05,12,7,224,0.851,1.304
183,1054,48,3.08,1,,,13,5385,421,209.0,0,1248,5944,16.08,0.0,170,13.08,0.517,0.934,0.686,530,947,50,0.531,202,93,0.08,14,6,224,0.701,1.799
183,1054,48,2.52,1,,,13,5882,468,209.0,0,1336,6462,16.08,0.0,170,13.08,0.517,0.934,0.686,530,988,50,0.545,202,95,0.07,15,6,224,0.717,1.384
186,1054,48,4.39,1,,,13,9926,862,212.0,0,2031,10859,16.31,0.0,173,13.31,0.517,0.934,0.686,530,1469,50,0.858,202,97,0.05,15,7,224,1.132,2.446
