NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
365,826,52,3.17,1,,,11,4366,435,405.0,0,1104,4949,36.82,0.0,354,32.18,0.576,0.52,0.382,312,973,80,0.843,206,161,0.09,15,7,209,1.012,1.578
247,826,52,2.38,1,,,12,3907,390,278.0,0,1007,4400,23.17,0.0,235,19.58,0.576,0.52,0.382,312,857,73,0.609,206,121,0.09,8,3,209,0.699,1.235
247,826,52,2.41,1,,,12,3907,390,278.0,0,1007,4400,23.17,0.0,235,19.58,0.576,0.52,0.382,312,857,73,0.675,206,121,0.09,8,3,209,0.811,1.129
247,826,52,2.85,1,,,12,4146,402,278.0,0,1047,4709,23.17,0.0,235,19.58,0.576,0.52,0.382,312,1009,84,0.663,206,169,0.11,12,5,209,0.8,1.49
247,826,52,2.42,1,,,12,4146,402,278.0,0,1047,4709,23.17,0.0,235,19.58,0.576,0.52,0.382,312,1009,84,0.686,206,169,0.11,12,5,209,0.824,1.099
365,826,52,2.93,1,,,11,4366,435,405.0,0,1104,4949,36.82,0.0,354,32.18,0.576,0.52,0.382,312,973,80,0.742,206,161,0.09,15,7,209,0.882,1.517
381,826,52,3.66,1,,,11,5688,608,421.0,0,1449,6429,38.27,0.0,370,33.64,0.576,0.52,0.382,312,1158,86,0.884,206,171,0.08,13,6,209,1.039,1.964
247,826,52,2.27,1,,,12,4021,430,278.0,0,1023,4521,23.17,0.0,235,19.58,0.576,0.52,0.382,312,766,70,0.604,206,124,0.09,6,3,209,0.776,0.988
247,826,52,2.83,1,,,12,4879,505,278.0,0,1257,5516,23.17,0.0,235,19.58,0.576,0.52,0.382,312,1076,84,0.75,206,161,0.09,12,4,209,0.869,1.409
247,826,52,2.09,1,,,12,3566,364,278.0,0,920,4032,23.17,0.0,235,19.58,0.576,0.52,0.382,312,779,68,0.523,206,122,0.11,8,5,209,0.629,1.013
247,826,52,2.48,1,,,12,3907,390,278.0,0,1007,4400,23.17,0.0,235,19.58,0.576,0.52,0.382,312,857,73,0.701,206,127,0.09,8,3,209,0.85,1.105
365,826,52,3.11,1,,,11,4366,435,405.0,0,1104,4949,36.82,0.0,354,32.18,0.576,0.52,0.382,312,973,80,0.705,206,161,0.09,15,7,209,0.914,1.671
247,826,52,2.17,1,,,12,4021,430,278.0,0,1023,4521,23.17,0.0,235,19.58,0.576,0.52,0.382,312,766,70,0.615,206,124,0.09,6,3,209,0.768,0.958
258,826,52,2.17,1,,,12,3380,346,289.0,0,868,3788,24.08,0.0,246,20.5,0.576,0.52,0.382,312,713,70,0.56,206,120,0.1,6,3,209,0.722,0.998
345,826,52,2.7,1,,,14,4457,427,380.0,0,1109,5054,27.14,0.0,331,23.64,0.576,0.52,0.382,312,1061,89,0.729,206,177,0.11,12,5,209,0.866,1.304
247,826,52,2.58,1,,,12,3907,390,278.0,0,1007,4400,23.17,0.0,235,19.58,0.576,0.52,0.382,312,857,73,0.621,206,125,0.09,8,3,209,0.814,1.311
258,826,52,2.07,1,,,12,3345,346,289.0,0,854,3753,24.08,0.0,246,20.5,0.576,0.52,0.382,312,707,70,0.555,206,120,0.1,6,3,209,0.72,0.929
247,826,52,2.31,1,,,12,3907,390,278.0,0,1007,4400,23.17,0.0,235,19.58,0.576,0.52,0.382,312,857,73,0.599,206,121,0.09,8,3,209,0.734,1.058
301,826,52,2.6,1,,,11,3918,397,341.0,0,991,4433,31.0,0.0,290,26.36,0.576,0.52,0.382,312,849,74,0.663,206,131,0.09,13,6,209,0.799,1.315
247,826,52,2.55,1,,,12,4146,402,278.0,0,1047,4709,23.17,0.0,235,19.58,0.576,0.52,0.382,312,1009,84,0.655,206,169,0.11,12,5,209,0.773,1.239
294,826,52,2.33,1,,,13,3174,310,327.0,0,816,3593,25.15,0.0,281,21.62,0.576,0.52,0.382,312,750,77,0.659,206,143,0.11,9,4,209,0.786,1.046
247,826,52,2.32,1,,,12,3907,390,278.0,0,1007,4400,23.17,0.0,235,19.58,0.576,0.52,0.382,312,857,73,0.561,206,121,0.09,8,3,209,0.687,1.202
365,826,52,2.9,1,,,11,4366,435,405.0,0,1104,4949,36.82,0.0,354,32.18,0.576,0.52,0.382,312,973,80,0.744,206,161,0.09,15,7,209,0.891,1.439
345,826,52,2.82,1,,,14,4452,427,380.0,0,1107,5049,27.14,0.0,331,23.64,0.576,0.52,0.382,312,1062,89,0.704,206,177,0.11,12,5,209,0.873,1.375
247,826,52,2.3,1,,,12,3960,413,278.0,0,1021,4466,23.17,0.0,235,19.58,0.576,0.52,0.382,312,808,68,0.581,206,118,0.09,8,5,209,0.75,1.052
258,826,52,2.14,1,,,12,3345,346,289.0,0,854,3753,24.08,0.0,246,20.5,0.576,0.52,0.382,312,707,70,0.522,206,120,0.1,6,3,209,0.663,1.031
324,826,52,4.18,1,,,14,8425,932,359.0,0,2126,9539,25.64,0.0,310,22.14,0.576,0.52,0.382,312,1502,89,0.914,206,171,0.06,14,6,209,1.099,2.323
247,826,52,2.02,1,,,12,3010,292,278.0,0,768,3402,23.17,0.0,235,19.58,0.576,0.52,0.382,312,661,68,0.53,206,132,0.13,8,5,209,0.625,0.944
271,826,52,2.95,1,,,11,5291,564,311.0,0,1360,5972,28.27,0.0,260,23.64,0.576,0.52,0.382,312,1080,71,0.682,206,137,0.08,11,6,209,0.875,1.524
258,826,52,2.15,1,,,12,3441,357,289.0,0,877,3861,24.08,0.0,246,20.5,0.576,0.52,0.382,312,713,70,0.474,206,120,0.1,6,3,209,0.62,1.056
