NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
640,3528,334,8.85,1,,,32,50850,5139,704.0,0,10106,56791,22.0,0.0,608,19.0,0.655,0.987,0.944,1578,6806,175,1.851,202,327,0.05,41,18,1162,2.371,4.957
637,3528,334,11.17,1,,,31,74903,7802,699.0,0,14525,83393,22.55,0.0,606,19.55,0.655,0.987,0.944,1578,10038,175,2.443,202,349,0.04,36,20,1162,3.07,6.148
637,3528,334,13.02,1,,,31,86770,9105,699.0,0,17256,96206,22.55,0.0,606,19.55,0.655,0.987,0.944,1578,11089,175,2.53,202,349,0.03,35,19,1162,3.323,7.364
640,3528,334,7.2,1,,,32,38104,3721,704.0,0,7837,42663,22.0,0.0,608,19.0,0.655,0.987,0.944,1578,5683,175,1.593,202,321,0.06,44,17,1162,2.175,3.742
640,3528,334,5.47,1,,,32,31625,3159,704.0,0,6500,35167,22.0,0.0,608,19.0,0.655,0.987,0.944,1578,6006,175,1.526,202,347,0.11,16,5,1162,1.906,2.418
640,3528,334,13.96,1,,,32,80840,8473,704.0,0,16244,89501,22.0,0.0,608,19.0,0.655,0.987,0.944,1578,13176,175,2.783,202,351,0.04,18,9,1162,3.52,8.168
640,3528,334,7.07,1,,,32,33924,3273,704.0,0,6999,38081,22.0,0.0,608,19.0,0.655,0.987,0.944,1578,5433,175,1.725,202,305,0.06,44,15,1162,2.119,3.708
637,3528,334,8.21,1,,,31,50476,5097,699.0,0,10006,56353,22.55,0.0,606,19.55,0.655,0.987,0.944,1578,6770,175,1.835,202,307,0.04,42,19,1162,2.354,4.371
640,3528,334,14.45,1,,,32,96278,10070,704.0,0,19342,106622,22.0,0.0,608,19.0,0.655,0.987,0.944,1578,11683,175,2.995,202,305,0.02,17,10,1162,3.886,8.24
637,3528,334,9.17,1,,,31,50476,5097,699.0,0,10006,56353,22.55,0.0,606,19.55,0.655,0.987,0.944,1578,6770,175,1.869,202,327,0.05,42,19,1162,2.383,4.969
640,3528,334,7.9,1,,,32,35465,3465,704.0,0,7278,39764,22.0,0.0,608,19.0,0.655,0.987,0.944,1578,6558,175,1.756,202,345,0.09,44,14,1162,2.242,4.264
637,3528,334,8.61,1,,,31,44330,4500,699.0,0,8718,49678,22.55,0.0,606,19.55,0.655,0.987,0.944,1578,6324,175,2.092,202,319,0.05,40,18,1162,2.639,4.381
640,3528,334,15.63,1,,,32,96345,10093,704.0,0,19365,106690,22.0,0.0,608,19.0,0.655,0.987,0.944,1578,11706,175,3.061,202,305,0.02,26,16,1162,4.064,9.011
637,3528,334,7.62,1,,,31,37708,3673,699.0,0,7731,42202,22.55,0.0,606,19.55,0.655,0.987,0.944,1578,5647,175,1.688,202,341,0.06,44,18,1162,2.201,4.114
640,3528,334,15.61,1,,,32,98242,10329,704.0,0,19786,108696,22.0,0.0,608,19.0,0.655,0.987,0.944,1578,11281,175,3.131,202,333,0.02,28,16,1162,4.034,8.902
640,3528,334,12.78,1,,,32,80840,8473,704.0,0,16244,89501,22.0,0.0,608,19.0,0.655,0.987,0.944,1578,13176,175,2.655,202,349,0.04,18,9,1162,3.482,7.049
640,3528,334,9.26,1,,,32,50850,5139,704.0,0,10106,56791,22.0,0.0,608,19.0,0.655,0.987,0.944,1578,6806,175,2.142,202,305,0.04,41,18,1162,2.689,4.84
640,3528,334,5.81,1,,,32,31625,3159,704.0,0,6500,35167,22.0,0.0,608,19.0,0.655,0.987,0.944,1578,6006,175,1.674,202,339,0.11,16,5,1162,2.087,2.542
637,3528,334,5.8,1,,,31,31419,3128,699.0,0,6431,34929,22.55,0.0,606,19.55,0.655,0.987,0.944,1578,5970,175,1.689,202,339,0.11,17,6,1162,2.048,2.58
637,3528,334,6.04,1,,,31,31419,3128,699.0,0,6431,34929,22.55,0.0,606,19.55,0.655,0.987,0.944,1578,5970,175,1.812,202,339,0.11,17,6,1162,2.106,2.645
