NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
86,809,38,2.04,1,,,7,1850,233,100.0,0,362,2116,14.29,0.0,79,11.29,0.526,0.887,0.76,156,217,26,0.421,202,33,0.05,11,5,125,0.51,1.197
86,809,38,1.48,1,,,7,1344,147,100.0,0,310,1510,14.29,0.0,79,11.29,0.526,0.887,0.76,156,201,25,0.279,202,47,0.09,8,3,125,0.374,0.829
86,809,38,1.75,1,,,7,1474,172,100.0,0,321,1667,14.29,0.0,79,11.29,0.526,0.887,0.76,156,199,25,0.38,202,43,0.08,9,3,125,0.472,0.915
86,809,38,1.59,1,,,7,1474,172,100.0,0,321,1667,14.29,0.0,79,11.29,0.526,0.887,0.76,156,199,25,0.267,202,43,0.08,9,3,125,0.37,0.888
86,809,38,1.44,1,,,7,1513,175,100.0,0,315,1719,14.29,0.0,79,11.29,0.526,0.887,0.76,156,190,25,0.264,202,41,0.08,9,4,125,0.339,0.782
86,809,38,1.67,1,,,7,1474,172,100.0,0,321,1667,14.29,0.0,79,11.29,0.526,0.887,0.76,156,199,25,0.34,202,43,0.08,9,3,125,0.436,0.922
86,809,38,1.51,1,,,7,1344,147,100.0,0,310,1510,14.29,0.0,79,11.29,0.526,0.887,0.76,156,201,25,0.308,202,43,0.08,8,3,125,0.368,0.866
86,809,38,2.02,1,,,7,2054,277,100.0,0,413,2337,14.29,0.0,79,11.29,0.526,0.887,0.76,156,219,25,0.325,202,27,0.04,9,3,125,0.423,1.262
86,809,38,1.51,1,,,7,1483,169,100.0,0,309,1692,14.29,0.0,79,11.29,0.526,0.887,0.76,156,190,25,0.282,202,41,0.08,9,5,125,0.399,0.785
86,809,38,1.47,1,,,7,1474,172,100.0,0,321,1667,14.29,0.0,79,11.29,0.526,0.887,0.76,156,199,25,0.265,202,43,0.08,9,3,125,0.422,0.743
86,809,38,1.49,1,,,7,1270,139,100.0,0,290,1426,14.29,0.0,79,11.29,0.526,0.887,0.76,156,193,25,0.318,202,51,0.1,8,3,125,0.383,0.823
86,809,38,1.42,1,,,7,1270,139,100.0,0,290,1426,14.29,0.0,79,11.29,0.526,0.887,0.76,156,193,25,0.309,202,51,0.1,8,3,125,0.39,0.764
86,809,38,1.47,1,,,7,1474,172,100.0,0,321,1667,14.29,0.0,79,11.29,0.526,0.887,0.76,156,199,25,0.34,202,43,0.08,9,3,125,0.417,0.811
86,809,38,1.56,1,,,7,1513,175,100.0,0,315,1719,14.29,0.0,79,11.29,0.526,0.887,0.76,156,190,25,0.389,202,43,0.08,9,4,125,0.474,0.82
86,809,38,1.48,1,,,7,1423,167,100.0,0,294,1633,14.29,0.0,79,11.29,0.526,0.887,0.76,156,178,25,0.324,202,43,0.1,9,5,125,0.458,0.749
86,809,38,1.95,1,,,7,2054,277,100.0,0,413,2337,14.29,0.0,79,11.29,0.526,0.887,0.76,156,219,25,0.32,202,27,0.04,9,3,125,0.435,1.233
86,809,38,1.52,1,,,7,1474,172,100.0,0,321,1667,14.29,0.0,79,11.29,0.526,0.887,0.76,156,199,25,0.276,202,43,0.08,9,3,125,0.391,0.824
86,809,38,1.53,1,,,7,1344,147,100.0,0,310,1510,14.29,0.0,79,11.29,0.526,0.887,0.76,156,201,25,0.338,202,43,0.08,8,3,125,0.435,0.862
86,809,38,1.44,1,,,7,1513,175,100.0,0,315,1719,14.29,0.0,79,11.29,0.526,0.887,0.76,156,190,25,0.296,202,41,0.08,9,4,125,0.378,0.799
86,809,38,1.68,1,,,7,1850,233,100.0,0,362,2116,14.29,0.0,79,11.29,0.526,0.887,0.76,156,217,26,0.349,202,33,0.05,11,5,125,0.44,0.952
86,809,38,1.55,1,,,7,1270,139,100.0,0,290,1426,14.29,0.0,79,11.29,0.526,0.887,0.76,156,193,25,0.306,202,51,0.1,8,3,125,0.371,0.871
86,809,38,1.65,1,,,7,1341,152,100.0,0,288,1525,14.29,0.0,79,11.29,0.526,0.887,0.76,156,196,25,0.34,202,43,0.09,10,4,125,0.487,0.846
86,809,38,1.97,1,,,7,2054,277,100.0,0,413,2337,14.29,0.0,79,11.29,0.526,0.887,0.76,156,219,25,0.34,202,27,0.04,9,3,125,0.439,1.182
86,809,38,2.0,1,,,7,2033,270,100.0,0,406,2316,14.29,0.0,79,11.29,0.526,0.887,0.76,156,219,25,0.375,202,27,0.04,10,4,125,0.471,1.178
86,809,38,1.42,1,,,7,1245,133,100.0,0,283,1402,14.29,0.0,79,11.29,0.526,0.887,0.76,156,193,25,0.338,202,51,0.1,9,3,125,0.418,0.776
86,809,38,1.42,1,,,7,1344,147,100.0,0,310,1510,14.29,0.0,79,11.29,0.526,0.887,0.76,156,201,25,0.304,202,45,0.09,8,3,125,0.418,0.688
86,809,38,1.47,1,,,7,1474,172,100.0,0,321,1667,14.29,0.0,79,11.29,0.526,0.887,0.76,156,199,25,0.313,202,43,0.08,9,3,125,0.397,0.771
86,809,38,1.38,1,,,7,1474,172,100.0,0,321,1667,14.29,0.0,79,11.29,0.526,0.887,0.76,156,199,25,0.257,202,43,0.08,9,3,125,0.323,0.779
86,809,38,1.57,1,,,7,1449,166,100.0,0,314,1643,14.29,0.0,79,11.29,0.526,0.887,0.76,156,199,25,0.353,202,43,0.08,10,4,125,0.442,0.837
86,809,38,1.55,1,,,7,1341,152,100.0,0,288,1525,14.29,0.0,79,11.29,0.526,0.887,0.76,156,196,25,0.359,202,43,0.09,10,4,125,0.489,0.799
