NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
153,849,72,2.7,1,,,13,5826,748,179.0,0,1224,6648,13.77,0.0,140,10.77,0.432,0.639,0.493,290,843,39,0.583,202,65,0.04,17,7,222,0.762,1.476
153,849,72,4.09,1,,,13,8017,1142,179.0,0,1594,9250,13.77,0.0,140,10.77,0.432,0.639,0.493,290,991,39,0.794,202,77,0.03,25,10,222,0.995,2.397
162,849,72,2.34,1,,,12,4366,554,186.0,0,950,4988,15.5,0.0,150,12.5,0.432,0.639,0.493,290,724,39,0.549,202,61,0.05,17,6,222,0.736,1.167
153,849,72,2.07,1,,,13,3548,406,179.0,0,792,4026,13.77,0.0,140,10.77,0.432,0.639,0.493,290,621,39,0.509,202,69,0.08,10,4,222,0.647,0.858
153,849,72,2.71,1,,,13,4981,649,179.0,0,1080,5689,13.77,0.0,140,10.77,0.432,0.639,0.493,290,800,39,0.612,202,69,0.05,21,7,222,0.773,1.432
150,849,72,3.09,1,,,12,5637,724,174.0,0,1179,6428,14.5,0.0,138,11.5,0.432,0.639,0.493,290,826,39,0.577,202,65,0.04,18,8,222,0.739,1.683
153,849,72,2.09,1,,,13,3548,406,179.0,0,792,4026,13.77,0.0,140,10.77,0.432,0.639,0.493,290,621,39,0.486,202,69,0.08,10,4,222,0.67,0.945
153,849,72,3.12,1,,,13,5826,748,179.0,0,1224,6648,13.77,0.0,140,10.77,0.432,0.639,0.493,290,843,39,0.629,202,65,0.04,17,7,222,0.854,1.659
153,849,72,1.84,1,,,13,3575,415,179.0,0,801,4053,13.77,0.0,140,10.77,0.432,0.639,0.493,290,629,39,0.473,202,69,0.08,10,4,222,0.557,0.846
153,849,72,1.78,1,,,13,3140,328,179.0,0,677,3586,13.77,0.0,140,10.77,0.432,0.639,0.493,290,535,39,0.401,202,79,0.12,14,5,222,0.52,0.844
153,849,72,2.29,1,,,13,3589,416,179.0,0,805,4067,13.77,0.0,140,10.77,0.432,0.639,0.493,290,633,39,0.587,202,77,0.09,10,4,222,0.727,1.02
150,849,72,2.84,1,,,12,5637,724,174.0,0,1179,6428,14.5,0.0,138,11.5,0.432,0.639,0.493,290,826,39,0.667,202,65,0.04,18,8,222,0.826,1.41
153,849,72,3.06,1,,,13,5826,748,179.0,0,1224,6648,13.77,0.0,140,10.77,0.432,0.639,0.493,290,843,39,0.61,202,65,0.04,17,7,222,0.78,1.722
157,849,72,3.31,1,,,13,6715,962,183.0,0,1307,7758,14.08,0.0,144,11.08,0.432,0.639,0.493,290,814,39,0.673,202,77,0.04,20,9,222,0.816,1.836
150,849,72,1.97,1,,,12,3483,401,174.0,0,774,3945,14.5,0.0,138,11.5,0.432,0.639,0.493,290,616,39,0.467,202,77,0.09,11,5,222,0.594,0.89
153,849,72,2.82,1,,,13,4741,611,179.0,0,1021,5423,13.77,0.0,140,10.77,0.432,0.639,0.493,290,766,39,0.583,202,69,0.05,17,7,222,0.754,1.475
153,849,72,2.87,1,,,13,4981,649,179.0,0,1080,5689,13.77,0.0,140,10.77,0.432,0.639,0.493,290,800,39,0.557,202,69,0.05,21,7,222,0.721,1.56
153,849,72,2.03,1,,,13,3548,406,179.0,0,792,4026,13.77,0.0,140,10.77,0.432,0.639,0.493,290,621,39,0.484,202,69,0.08,10,4,222,0.6,0.904
153,849,72,1.87,1,,,13,3140,328,179.0,0,677,3586,13.77,0.0,140,10.77,0.432,0.639,0.493,290,535,39,0.442,202,41,0.06,14,5,222,0.634,0.827
153,849,72,2.8,1,,,13,4620,579,179.0,0,1007,5276,13.77,0.0,140,10.77,0.432,0.639,0.493,290,753,39,0.642,202,53,0.04,17,6,222,0.818,1.395
157,849,72,3.72,1,,,13,6728,931,183.0,0,1365,7724,14.08,0.0,144,11.08,0.432,0.639,0.493,290,792,39,0.776,202,77,0.04,17,8,222,0.944,2.092
153,849,72,2.02,1,,,13,3548,406,179.0,0,792,4026,13.77,0.0,140,10.77,0.432,0.639,0.493,290,621,39,0.506,202,69,0.08,10,4,222,0.634,0.974
153,849,72,3.58,1,,,13,6846,943,179.0,0,1416,7865,13.77,0.0,140,10.77,0.432,0.639,0.493,290,850,39,0.718,202,73,0.04,15,8,222,0.945,1.853
153,849,72,2.05,1,,,13,3140,328,179.0,0,677,3586,13.77,0.0,140,10.77,0.432,0.639,0.493,290,535,39,0.503,202,79,0.12,14,5,222,0.674,0.88
153,849,72,3.21,1,,,13,5826,748,179.0,0,1224,6648,13.77,0.0,140,10.77,0.432,0.639,0.493,290,843,39,0.698,202,65,0.04,17,7,222,0.953,1.588
150,849,72,3.15,1,,,12,5637,724,174.0,0,1179,6428,14.5,0.0,138,11.5,0.432,0.639,0.493,290,826,39,0.693,202,65,0.04,18,8,222,0.821,1.697
153,849,72,2.14,1,,,13,3548,406,179.0,0,792,4026,13.77,0.0,140,10.77,0.432,0.639,0.493,290,621,39,0.525,202,69,0.08,10,4,222,0.652,1.021
153,849,72,1.71,1,,,13,3140,328,179.0,0,677,3586,13.77,0.0,140,10.77,0.432,0.639,0.493,290,535,39,0.357,202,79,0.12,14,5,222,0.474,0.788
153,849,72,3.01,1,,,13,5826,748,179.0,0,1224,6648,13.77,0.0,140,10.77,0.432,0.639,0.493,290,843,39,0.567,202,65,0.04,17,7,222,0.735,1.607
153,849,72,2.96,1,,,13,5826,748,179.0,0,1224,6648,13.77,0.0,140,10.77,0.432,0.639,0.493,290,843,39,0.587,202,65,0.04,17,7,222,0.764,1.605
