NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
1247,383,210,899.69,0,,,123
1447,355,188,899.61,0,,,122
1297,383,210,899.49,0,,,146
1182,369,200,899.56,0,,,95
1988,344,184,899.73,0,,,893
,,,,,,,
,,,,,,,
1120,355,188,899.68,0,,,55
1297,383,210,900.2,0,,,146
1581,362,198,899.64,0,,,125
1247,383,210,899.63,0,,,123
1231,355,188,899.6,0,,,111
,,,,,,,
,,,,,,,
1030,369,200,904.0,0,,,90
1030,369,200,899.69,0,,,90
,,,,,,,
,,,,,,,
,,,,,,,
1120,355,188,899.64,0,,,55
,,,,,,,
,,,,,,,
1988,344,184,899.67,0,,,893
1247,383,210,899.68,0,,,123
1182,369,200,899.64,0,,,95
1247,383,210,899.67,0,,,123
1030,369,200,899.55,0,,,90
1830,362,198,903.35,0,,,110
1231,355,188,908.21,0,,,111
,,,,,,,
