NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
112,177,112,29.38,0,,,4
112,177,112,29.84,0,,,4
112,177,112,29.95,0,,,4
112,177,112,30.15,0,,,4
112,177,112,29.98,0,,,4
112,177,112,30.06,0,,,4
112,177,112,30.02,0,,,4
112,177,112,30.05,0,,,4
112,177,112,30.13,0,,,4
112,177,112,30.01,0,,,4
112,177,112,30.09,0,,,4
112,177,112,29.66,0,,,4
112,177,112,30.1,0,,,4
112,177,112,30.11,0,,,4
112,177,112,30.14,0,,,4
112,177,112,29.98,0,,,4
112,177,112,30.09,0,,,4
112,177,112,30.07,0,,,4
112,177,112,30.1,0,,,4
112,177,112,30.08,0,,,4
112,177,112,30.04,0,,,4
112,177,112,30.06,0,,,4
112,177,112,30.03,0,,,4
112,177,112,30.12,0,,,4
112,177,112,30.11,0,,,4
112,177,112,30.09,0,,,4
112,177,112,30.06,0,,,4
112,177,112,29.98,0,,,4
112,177,112,30.15,0,,,4
112,177,112,29.97,0,,,4
