NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
167,979,650,30.97,0,,,26
165,693,238,30.39,0,,,25
130,815,434,31.17,0,,,25
181,1326,678,30.85,0,,,12
130,656,368,31.1,0,,,21
74,1301,678,31.06,0,,,18
167,893,618,30.9,0,,,25
100,656,368,30.65,0,,,19
49,1316,678,30.46,0,,,11
167,794,432,30.37,0,,,25
74,1301,678,30.55,0,,,18
100,656,368,30.74,0,,,19
130,656,368,30.98,0,,,21
100,1212,644,30.48,0,,,20
165,712,246,30.37,0,,,25
74,1301,678,30.58,0,,,18
130,815,434,31.18,0,,,25
165,713,246,30.35,0,,,25
167,979,650,30.39,0,,,25
130,656,368,31.01,0,,,21
167,893,618,30.78,0,,,25
167,979,650,31.02,0,,,26
167,893,618,30.74,0,,,25
37,1225,648,29.77,0,,,14
39,1224,490,30.04,0,,,8
100,755,406,30.7,0,,,20
52,781,416,30.28,0,,,19
52,781,416,30.53,0,,,19
112,1328,678,30.62,0,,,9
82,1328,678,30.62,0,,,8
