NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
3355,2018,1808,900.81,0,,,275
3493,2070,1824,900.43,0,,,355
3493,2070,1824,903.72,0,,,355
,,,,,,,
,,,,,,,
5882,2359,1606,900.31,0,,,456
,,,,,,,
9580,2459,1962,903.83,0,,,209
,,,,,,,
3355,2018,1808,905.85,0,,,275
,,,,,,,
9677,2498,1980,907.87,0,,,229
,,,,,,,
9677,2498,1980,900.67,0,,,229
3491,1996,1798,900.5,0,,,354
5883,2438,1746,900.58,0,,,460
,,,,,,,
3493,2070,1824,904.12,0,,,355
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
3197,2018,1808,900.6,0,,,269
7295,1436,880,899.6,0,,,382
7150,1284,798,899.62,0,,,168
3092,1957,1778,903.58,0,,,260
3300,1996,1798,902.17,0,,,325
3300,1996,1798,903.96,0,,,325
7175,2681,2026,899.64,0,,,162
7175,2681,2026,899.55,0,,,162
