NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
1173,1359,236,25.92,1,,,125,117488,11316,1695.0,0,6387,130546,13.56,0.0,1048,8.38,0.256,0.572,0.557,4849,13016,1085,10.161,520,1160,0.14,26,12,737,10.975,5.514
481,1359,236,17.45,1,,,51,66579,6747,652.0,0,3108,74451,12.78,0.0,430,8.43,0.256,0.572,0.557,4849,7218,942,8.065,501,1011,0.2,25,11,737,8.676,4.117
922,1359,236,25.02,1,,,112,99690,9946,1419.0,0,4583,111493,12.67,0.0,810,7.23,0.256,0.572,0.557,4849,11214,1038,10.342,511,1104,0.17,27,12,737,11.084,5.264
861,1359,236,26.21,0,,,93,124182,12534,1183.0,0,6398,138016,12.72,0.0,768,8.26,0.256,0.572,0.557,7883,13950,1331,11.836,594,1307,0.13,20,8,737,12.625,5.924
488,1359,236,17.35,1,,,50,67853,6903,656.0,0,3128,75916,13.12,0.0,438,8.76,0.256,0.572,0.557,4849,7196,966,7.783,490,979,0.19,27,12,737,8.454,4.293
259,1359,236,15.63,1,,,29,58111,6610,306.0,0,1914,65838,10.55,0.0,230,7.93,0.256,0.572,0.557,6127,5015,947,7.472,293,803,0.2,27,15,737,8.042,4.267
1173,1359,236,25.99,1,,,125,121152,11644,1695.0,0,6507,134554,13.56,0.0,1048,8.38,0.256,0.572,0.557,4849,13716,1082,10.295,523,1158,0.14,26,12,737,11.074,5.656
997,1359,236,23.56,1,,,109,104102,10415,1455.0,0,5363,116140,13.35,0.0,888,8.15,0.256,0.572,0.557,4849,10136,1107,9.37,522,1179,0.16,27,11,737,10.023,5.003
922,1359,236,24.57,1,,,112,100561,10071,1419.0,0,4631,112455,12.67,0.0,810,7.23,0.256,0.572,0.557,4849,11276,1037,10.36,519,1121,0.16,25,11,737,11.09,5.378
403,1359,236,19.73,1,,,54,99074,10592,555.0,0,4260,111086,10.28,0.0,349,6.46,0.256,0.572,0.557,4849,10275,1061,9.394,549,1159,0.16,27,11,737,10.063,5.117
403,1359,236,19.39,1,,,54,99074,10592,555.0,0,4260,111086,10.28,0.0,349,6.46,0.256,0.572,0.557,4849,10275,1061,8.916,549,1157,0.16,27,11,737,9.608,5.42
403,1359,236,20.29,1,,,54,99074,10592,555.0,0,4260,111086,10.28,0.0,349,6.46,0.256,0.572,0.557,4849,10275,1061,9.407,549,1157,0.16,27,11,737,10.039,5.614
488,1359,236,17.77,1,,,50,67853,6903,656.0,0,3128,75916,13.12,0.0,438,8.76,0.256,0.572,0.557,4849,7196,966,7.739,490,1023,0.2,27,12,737,8.289,4.594
314,1359,236,16.4,1,,,36,75733,8318,394.0,0,3018,85213,10.94,0.0,278,7.72,0.256,0.572,0.557,6127,6710,1001,7.423,304,871,0.16,26,14,737,8.125,4.707
349,1359,236,26.31,0,,,45,150602,15792,494.0,0,7555,168045,10.98,0.0,305,6.93,0.256,0.572,0.557,8920,23897,1400,12.864,547,1285,0.13,34,15,738,13.904,7.166
922,1359,236,25.42,1,,,112,100561,10071,1419.0,0,4631,112455,12.67,0.0,810,7.23,0.256,0.572,0.557,4849,11276,1037,10.346,519,1121,0.16,25,11,737,11.273,5.595
314,1359,236,17.5,1,,,36,75733,8318,394.0,0,3018,85213,10.94,0.0,278,7.72,0.256,0.572,0.557,6127,6710,1001,8.344,304,871,0.16,26,14,737,8.951,4.625
403,1359,236,20.71,1,,,54,99074,10592,555.0,0,4260,111086,10.28,0.0,349,6.46,0.256,0.572,0.557,4849,10275,1061,9.487,549,1157,0.16,27,11,737,10.401,5.46
403,1359,236,21.67,1,,,54,99074,10592,555.0,0,4260,111086,10.28,0.0,349,6.46,0.256,0.572,0.557,4849,10275,1061,9.858,549,1157,0.16,27,11,737,10.737,5.649
259,1359,236,17.1,1,,,29,58111,6610,306.0,0,1914,65838,10.55,0.0,230,7.93,0.256,0.572,0.557,6127,5015,947,8.186,293,803,0.2,27,15,737,8.878,4.448
