NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
185,1994,537,58.86,0,,,33,91984,12709,221.0,0,1454,105899,6.7,0.0,152,4.61,0.325,0.432,0.406,5676,3371,752,45.757,374,702,0.23,52,23,1326,46.358,5.887
289,2089,567,40.79,0,,,49,157601,20706,341.0,0,2697,180434,6.96,0.0,240,4.9,0.321,0.452,0.428,20814,7708,1405,24.065,374,976,0.2,131,26,1394,25.139,9.565
16,1614,350,4.05,0,,,10,6531,891,31.0,0,163,7567,3.1,0.0,6,0.6,0.273,0.349,0.264,1953,220,84,0.87,265,242,0.34,23,9,976,1.062,2.144
8,1582,347,2.77,0,,,8,3369,458,16.0,0,89,3912,2.0,0.0,0,0.0,0.24,0.342,0.262,1907,95,44,0.428,230,182,0.42,21,8,947,0.601,1.725
97,1627,365,9.59,0,,,25,62249,7900,125.0,0,1285,71009,5.0,0.0,72,2.88,0.24,0.352,0.276,4082,1972,377,1.675,374,526,0.23,37,14,979,2.358,4.691
153,2162,577,19.11,0,,,33,84349,10997,189.0,0,1686,96362,5.73,0.0,120,3.64,0.336,0.468,0.436,18221,3556,605,4.891,374,636,0.2,103,20,1474,5.637,8.813
33,1690,366,6.36,0,,,12,12359,1607,50.0,0,334,14170,4.17,0.0,21,1.75,0.273,0.366,0.276,2574,412,106,2.099,265,281,0.27,26,10,1049,2.412,2.669
16,2384,622,13.21,0,,,10,33065,3746,31.0,0,661,36993,3.1,0.0,6,0.6,0.365,0.516,0.47,27282,226,84,1.026,265,261,0.17,77,37,1664,1.502,8.933
289,2089,567,42.98,0,,,49,157601,20706,341.0,0,2697,180434,6.96,0.0,240,4.9,0.321,0.452,0.428,20814,7708,1405,25.567,374,976,0.2,131,26,1394,26.633,10.11
97,1627,365,9.48,0,,,25,62249,7900,125.0,0,1285,71009,5.0,0.0,72,2.88,0.24,0.352,0.276,4082,1972,377,1.572,374,526,0.23,37,14,979,2.247,4.594
433,2107,567,114.95,0,,,57,341985,45018,493.0,0,4525,390382,8.65,0.0,376,6.6,0.321,0.456,0.428,21902,16316,2981,90.139,374,1582,0.19,133,51,1416,91.93,13.757
16,1666,358,4.63,0,,,10,8306,1069,31.0,0,225,9509,3.1,0.0,6,0.6,0.273,0.361,0.27,2475,226,84,0.906,265,242,0.29,20,8,1025,1.102,2.493
153,2162,577,19.08,0,,,33,84349,10997,189.0,0,1686,96362,5.73,0.0,120,3.64,0.336,0.468,0.436,18221,3556,605,4.848,374,636,0.2,103,20,1474,5.701,8.433
8,1582,347,2.64,0,,,8,3369,458,16.0,0,89,3912,2.0,0.0,0,0.0,0.24,0.342,0.262,1907,95,44,0.389,230,182,0.42,21,8,947,0.556,1.555
33,1690,366,5.82,0,,,12,12359,1607,50.0,0,334,14170,4.17,0.0,21,1.75,0.273,0.366,0.276,2574,412,106,1.89,265,281,0.27,26,10,1049,2.182,2.438
97,1627,365,9.37,0,,,25,62249,7900,125.0,0,1285,71009,5.0,0.0,72,2.88,0.24,0.352,0.276,4082,1972,377,1.649,374,526,0.23,37,14,979,2.282,4.585
16,1614,350,3.92,0,,,10,6531,891,31.0,0,163,7567,3.1,0.0,6,0.6,0.273,0.349,0.264,1953,220,84,0.807,265,246,0.35,23,9,976,1.063,2.082
185,1994,537,57.81,0,,,33,91984,12709,221.0,0,1454,105899,6.7,0.0,152,4.61,0.325,0.432,0.406,5676,3371,752,44.5,374,702,0.23,52,23,1326,45.271,5.941
97,1627,365,10.18,0,,,25,62249,7900,125.0,0,1285,71009,5.0,0.0,72,2.88,0.24,0.352,0.276,4082,1972,377,1.617,374,530,0.23,37,14,979,2.262,5.226
33,1690,366,5.82,0,,,12,12359,1607,50.0,0,334,14170,4.17,0.0,21,1.75,0.273,0.366,0.276,2574,412,106,1.697,265,281,0.27,26,10,1049,1.92,2.655
16,2147,564,6.97,0,,,10,14213,1785,31.0,0,294,16151,3.1,0.0,6,0.6,0.351,0.465,0.426,8401,226,84,1.032,265,261,0.28,50,18,1467,1.288,4.211
16,1666,358,4.51,0,,,10,8306,1069,31.0,0,225,9509,3.1,0.0,6,0.6,0.273,0.361,0.27,2475,226,84,0.966,265,242,0.29,20,8,1025,1.232,2.466
33,1690,366,6.55,0,,,12,12359,1607,50.0,0,334,14170,4.17,0.0,21,1.75,0.273,0.366,0.276,2574,412,106,2.139,265,281,0.27,26,10,1049,2.471,2.727
385,2207,591,95.65,0,,,57,324743,41564,445.0,0,5110,369009,7.81,0.0,328,5.75,0.336,0.478,0.446,19451,21548,3489,73.632,395,1954,0.21,99,34,1505,75.665,12.302
289,2086,565,73.41,0,,,49,307541,41438,341.0,0,3577,351910,6.96,0.0,240,4.9,0.328,0.451,0.427,51126,9116,1405,44.537,374,976,0.16,279,70,1397,46.672,16.806
