NoAffS,VL,VC,Time,Result
15,660,2264,14.27,1
15,660,2264,15.19,1
15,660,2264,14.67,1
15,660,2264,13.96,1
15,660,2264,14.61,1
15,660,2264,15.52,1
15,660,2264,14.71,1
15,660,2264,14.38,1
15,660,2264,14.2,1
15,660,2264,14.73,1
15,660,2264,14.0,1
15,660,2264,13.9,1
15,660,2264,14.64,1
15,660,2264,15.05,1
15,660,2264,14.18,1
15,660,2264,13.98,1
15,660,2264,14.63,1
15,660,2264,14.73,1
15,660,2264,14.38,1
15,660,2264,14.1,1
15,660,2264,14.9,1
15,660,2264,14.43,1
15,660,2264,14.36,1
15,660,2264,15.02,1
15,660,2264,14.48,1
15,660,2264,15.01,1
15,660,2264,14.84,1
15,660,2264,14.57,1
15,660,2264,14.59,1
15,660,2264,14.69,1
