NoAffS,VL,VC,Time,Result
35,660,2264,30.6,0
35,660,2264,30.42,0
35,660,2264,30.36,0
35,660,2264,30.41,0
35,660,2264,30.72,0
35,660,2264,30.38,0
35,660,2264,30.38,0
35,660,2264,30.36,0
35,660,2264,30.52,0
35,660,2264,30.62,0
35,660,2264,30.34,0
35,660,2264,30.39,0
35,660,2264,30.36,1
35,660,2264,30.74,0
35,660,2264,30.4,0
35,660,2264,30.37,0
35,660,2264,30.38,0
35,660,2264,30.35,0
35,660,2264,30.39,0
35,660,2264,30.37,0
35,660,2264,30.44,0
35,660,2264,30.39,0
35,660,2264,30.46,0
35,660,2264,30.75,0
35,660,2264,30.35,0
35,660,2264,30.44,0
35,660,2264,30.77,0
35,660,2264,30.4,0
35,660,2264,30.4,0
35,660,2264,30.72,0
