NoAffS,VL,VC,Time,Result
15,660,2264,21.19,1
15,660,2264,21.0,1
15,660,2264,20.66,1
15,660,2264,20.7,1
15,660,2264,20.53,1
15,660,2264,20.49,1
15,660,2264,20.85,1
15,660,2264,21.47,1
15,660,2264,20.97,1
15,660,2264,20.38,1
15,660,2264,20.36,1
15,660,2264,21.03,1
15,660,2264,20.97,1
15,660,2264,21.33,1
15,660,2264,20.84,1
15,660,2264,21.32,1
15,660,2264,20.53,1
15,660,2264,21.25,1
15,660,2264,20.28,1
15,660,2264,21.1,1
15,660,2264,20.71,1
15,660,2264,20.92,1
15,660,2264,21.58,1
15,660,2264,21.25,1
15,660,2264,20.51,1
15,660,2264,20.42,1
15,660,2264,20.89,1
15,660,2264,21.19,1
15,660,2264,21.19,1
15,660,2264,20.74,1
