NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
10559,2021,610,900.29,0,,,710
,,,,,,,
,,,,,,,
143073,1880,564,900.21,0,,,5534
97283,4686,1546,900.33,0,,,1307
7243,2943,902,900.32,0,,,492
92393,3030,970,900.25,0,,,1145
139576,1884,564,900.18,0,,,5408
,,,,,,,
138225,1880,564,900.21,0,,,5351
6262,2048,648,900.21,0,,,504
,,,,,,,
91971,4630,1540,900.74,0,,,1122
95282,3664,1196,900.31,0,,,1170
6145,3438,1094,900.31,0,,,495
,,,,,,,
6210,3242,1036,900.31,0,,,500
7757,3301,1042,900.27,0,,,469
8958,2061,658,900.29,0,,,624
8596,1432,398,900.32,0,,,621
,,,,,,,
6197,3086,980,900.33,0,,,499
115579,4745,1548,900.47,0,,,1539
,,,,,,,
140849,934,0,900.42,0,,,5448
136646,1881,564,900.33,0,,,5293
,,,,,,,
7187,2498,782,900.33,0,,,543
,,,,,,,
,,,,,,,
