NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
2428,1237,200,30.35,0,,,61
,2333,540,30.38,0,,,0
2343,1181,176,30.42,0,,,63
54,1739,244,31.04,0,,,10
,2333,540,30.48,0,,,0
96,1878,272,32.47,0,,,16
,2333,540,30.34,0,,,0
,2333,540,30.33,0,,,0
,4148,1108,30.32,0,,,0
,2333,540,30.31,0,,,0
59,1393,112,30.52,0,,,8
54,1739,244,31.61,0,,,10
1415,1210,188,30.3,0,,,55
2454,1244,202,30.42,0,,,63
,2647,556,30.34,0,,,0
54,1739,244,31.97,0,,,10
72,1393,112,31.53,0,,,13
,2685,572,30.32,0,,,0
96,1878,272,33.64,0,,,16
96,1878,272,33.79,0,,,16
2527,1244,202,30.51,0,,,65
,2333,540,30.33,0,,,0
,2333,540,30.54,0,,,0
,2733,568,30.32,0,,,0
,4059,1078,30.31,0,,,0
12,1456,114,32.15,0,,,2
72,1393,112,32.89,0,,,13
,2817,792,30.35,0,,,0
72,1393,112,32.14,0,,,13
,2333,540,30.33,0,,,0
