NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
49,3768,1286,30.32,0,,,17
16,3029,1246,30.35,0,,,16
85,3835,1300,30.37,0,,,13
82,2886,1244,30.32,0,,,82
85,2093,672,30.34,0,,,85
80,3703,1266,30.37,0,,,11
100,3707,1266,30.35,0,,,15
76,3140,1244,30.32,0,,,76
66,3638,1252,30.34,0,,,10
16,3029,1246,30.34,0,,,16
16,3029,1246,30.34,0,,,16
140,3669,1266,30.35,0,,,12
16,3029,1246,30.36,0,,,16
95,1402,0,30.34,0,,,95
87,3327,1326,30.37,0,,,88
42,3320,1244,30.33,0,,,42
48,3696,1260,30.36,0,,,16
85,2146,706,30.35,0,,,85
47,3708,1260,30.32,0,,,15
66,3484,1244,30.36,0,,,10
158,3684,1270,30.34,0,,,20
80,3713,1268,30.37,0,,,11
16,3029,1246,30.34,0,,,16
16,3029,1246,30.34,0,,,16
83,2778,1156,30.33,0,,,83
16,3029,1246,30.31,0,,,16
16,3029,1246,30.36,0,,,16
49,3684,1260,30.34,0,,,17
48,3794,1304,30.34,0,,,16
66,3701,1266,30.34,0,,,10
