NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
5006,1047,172,30.34,0,,,185
8707,920,118,30.37,0,,,572
2942,1062,166,30.34,0,,,95
1347,888,98,30.34,0,,,34
4400,1086,182,30.3,0,,,246
3941,1044,160,30.37,0,,,225
3573,1091,188,30.35,0,,,264
1598,656,16,30.32,0,,,53
947,856,84,30.35,0,,,29
6327,888,98,30.33,0,,,382
6443,1069,166,30.33,0,,,391
4718,1002,146,30.36,0,,,103
2631,1121,198,30.35,0,,,200
2942,1067,168,30.38,0,,,96
4863,953,128,30.34,0,,,107
5982,1071,166,30.35,0,,,360
4814,1133,206,30.36,0,,,244
1042,852,82,30.34,0,,,31
2289,1090,188,30.35,0,,,176
2575,1062,166,30.34,0,,,88
1121,884,96,30.34,0,,,31
8603,920,118,30.35,0,,,562
2882,554,0,30.37,0,,,148
2283,1061,170,30.34,0,,,175
2928,1062,178,30.34,0,,,153
1740,888,98,30.33,0,,,56
4898,1170,212,30.35,0,,,151
8397,821,92,30.32,0,,,541
4154,1092,186,30.35,0,,,155
8307,918,118,30.28,0,,,533
