NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
,,,,,,,
,,,,,,,
154055,2153,538,900.3,0,,,526
44792,1930,486,900.34,0,,,2141
75507,2611,812,900.31,0,,,1388
42961,2726,824,900.34,0,,,432
2343,714,0,910.47,0,,,27
22936,721,0,910.68,0,,,668
53890,4149,1222,900.27,0,,,481
32050,2723,808,900.34,0,,,2038
,,,,,,,
,,,,,,,
154762,2166,538,900.3,0,,,524
,,,,,,,
,,,,,,,
11641,3034,870,900.34,0,,,545
152950,2166,538,900.28,0,,,517
50165,721,0,900.54,0,,,3444
,,,,,,,
11342,2814,826,900.33,0,,,538
,,,,,,,
11598,2563,690,900.33,0,,,544
7207,2133,588,900.32,0,,,88
,,,,,,,
,,,,,,,
,,,,,,,
11300,2709,772,900.29,0,,,537
4807,3044,608,900.32,0,,,35
11384,2638,760,900.32,0,,,539
7207,2187,604,900.3,0,,,88
