NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
119371,2071,1192,900.31,0,,,4284
,,,,,,,
220057,1741,994,900.32,0,,,6846
75553,2258,1416,900.36,0,,,3161
136095,2132,1324,900.38,0,,,5713
,,,,,,,
56838,2076,1192,900.26,0,,,3445
,,,,,,,
215418,1572,840,900.27,0,,,6667
32891,670,0,900.48,0,,,1953
51473,2148,1260,900.35,0,,,3469
220174,1741,994,900.3,0,,,6849
50859,2195,1326,900.33,0,,,3416
50978,2221,1356,900.38,0,,,3432
120266,2071,1192,900.34,0,,,4314
133482,2069,1192,900.32,0,,,4861
135977,2134,1324,900.32,0,,,5710
221510,1741,994,900.29,0,,,6891
183613,1971,1062,900.21,0,,,8784
73399,2253,1408,900.22,0,,,3591
,,,,,,,
220535,1740,994,900.33,0,,,6855
136221,2134,1324,900.25,0,,,5718
197127,2026,1324,900.32,0,,,5913
219538,1714,954,900.3,0,,,6827
51348,670,0,900.91,0,,,3450
216026,1570,840,900.29,0,,,6709
,,,,,,,
136433,2135,1324,900.34,0,,,5727
217107,1714,954,900.33,0,,,6752
