NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
157,1665,416,30.36,0,,,8
,1840,962,30.38,0,,,0
336,840,0,30.41,0,,,25
,1660,874,30.35,0,,,0
200,1724,440,30.36,0,,,9
1814,840,0,30.35,0,,,66
3432,902,20,30.35,0,,,125
2278,1553,476,30.33,0,,,106
3608,1705,554,30.36,0,,,130
,1687,884,30.33,0,,,0
1394,2879,1544,30.34,0,,,81
162,1793,436,30.36,0,,,8
1394,2900,1550,30.35,0,,,81
162,1731,390,30.33,0,,,8
,1675,882,30.32,0,,,0
1801,1246,204,30.27,0,,,71
383,1686,418,30.33,0,,,10
134,840,0,30.31,0,,,7
157,1728,442,30.35,0,,,8
157,2198,698,30.35,0,,,8
1063,1353,152,30.32,0,,,52
,,,,,,,
,1687,884,30.32,0,,,0
1394,1828,638,30.34,0,,,81
921,1435,212,30.34,0,,,46
2585,1562,484,30.32,0,,,116
1394,3127,1674,30.35,0,,,81
157,835,0,30.7,0,,,8
157,2009,634,30.34,0,,,8
,1840,962,30.34,0,,,0
