NoAffS,VL,VC,Time,Result
35,3414,9656,30.35,0
35,3414,9656,30.38,0
35,3414,9656,30.34,0
39,3414,9656,30.38,0
35,3414,9656,30.39,0
35,3414,9656,30.39,0
35,3414,9656,30.4,0
22,2439,7030,30.37,0
35,3414,9656,30.36,0
22,2439,7030,30.35,0
35,3414,9656,30.39,0
34,3414,9656,30.37,0
22,2439,7030,30.37,0
22,2439,7030,30.36,0
35,3414,9656,30.39,0
35,3414,9656,30.36,0
34,3414,9656,30.38,0
39,3414,9656,30.35,0
35,3414,9656,30.38,0
22,2439,7030,30.36,0
22,2439,7030,30.37,0
35,3414,9656,30.37,0
35,3414,9656,30.37,0
35,3414,9656,30.4,0
39,3414,9656,30.38,0
34,3414,9656,30.32,0
35,3414,9656,30.37,0
35,3414,9656,30.35,0
34,3414,9656,30.35,0
39,3414,9656,30.39,0
