NoAffS,VL,VC,Time,Result
41,3414,9656,30.36,0
39,3414,9656,30.38,0
39,3414,9656,30.36,0
10,1297,3806,30.36,0
39,3414,9656,30.38,0
10,1297,3806,30.38,0
10,1297,3806,30.36,0
10,1297,3806,30.37,0
39,3414,9656,30.38,0
39,3414,9656,30.36,0
39,3414,9656,30.4,0
37,3414,9656,30.34,0
41,3414,9656,30.33,0
37,3414,9656,30.37,0
10,1297,3806,30.39,0
39,3414,9656,30.41,0
39,3414,9656,30.37,0
10,1297,3806,30.38,0
10,1297,3806,30.35,0
10,1297,3806,30.4,0
39,3414,9656,30.36,0
39,3414,9656,30.39,0
10,1297,3806,30.4,0
36,3414,9656,30.37,0
36,3414,9656,30.4,0
39,3414,9656,30.38,0
10,1297,3806,30.34,0
36,3414,9656,30.4,0
41,3414,9656,30.36,0
36,3414,9656,30.41,0
