NoAffS,VL,VC,Time,Result
22,2439,7030,30.38,0
22,2439,7030,30.37,0
22,2439,7030,30.39,0
22,2439,7030,30.38,0
22,2439,7030,30.36,0
22,2439,7030,30.38,0
29,3414,9656,30.37,0
23,3414,9656,30.37,0
23,3414,9656,30.37,0
23,3414,9656,30.37,0
39,3414,9656,30.37,0
39,3414,9656,30.38,0
23,3414,9656,30.37,0
29,3414,9656,30.37,0
22,2439,7030,30.36,0
39,3414,9656,30.35,0
29,3414,9656,30.41,0
29,3414,9656,30.36,0
23,3414,9656,30.38,0
23,3414,9656,30.37,0
22,2439,7030,30.36,0
29,3414,9656,30.38,0
23,3414,9656,30.4,0
39,3414,9656,30.35,0
39,3414,9656,30.29,0
29,3414,9656,30.39,0
22,2439,7030,30.37,0
29,3414,9656,30.39,0
23,3414,9656,30.32,0
22,2439,7030,30.4,0
