NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
213,1584,198,22.7,0,,,32,105753,9605,726.0,1,30556,121233,22.69,0.03,180,5.63,0.178,0.29,0.176,1980,22928,1284,5.622,610,1634,0.05,219,133,534,7.437,10.677
158,1193,0,22.36,0,,,27,91729,6048,619.0,0,26291,105455,22.93,0.0,131,4.85,0.013,0.219,0.0,16,18950,1187,5.274,1266,1796,0.07,385,173,16,7.227,10.955
130,1844,230,22.9,0,,,25,113973,9845,537.0,0,36692,127959,21.48,0.0,105,4.2,0.254,0.338,0.205,1387,18301,1026,4.91,468,1550,0.04,211,118,709,7.034,11.118
,3283,542,21.28,0,,,0,42566,3783,,,13802,46388,,,,,0.502,0.602,0.482,42606,,,1.086,202,0,0.0,59,48,2008,2.324,16.321
2441,1318,36,22.59,0,,,127,55087,1526,10920.0,8,17218,61981,85.98,0.06,2306,18.16,0.076,0.242,0.032,310,63375,7776,9.887,1508,3882,0.2,58,31,176,10.826,5.164
126,1842,232,22.19,0,,,24,108710,9395,513.0,0,34993,122056,21.38,0.0,102,4.25,0.244,0.338,0.206,1254,16782,921,4.566,429,1400,0.04,211,118,713,6.438,11.275
16,3271,584,22.5,0,,,4,47402,4129,101.0,0,15462,51619,25.25,0.0,12,3.0,0.53,0.6,0.52,39838,287,41,1.449,208,78,0.0,46,32,2158,2.62,16.613
171,1430,100,22.0,0,,,28,80494,6211,1164.0,0,27050,87268,41.57,0.0,143,5.11,0.095,0.262,0.089,1517,9815,875,3.645,1445,1234,0.04,24,12,351,5.213,12.437
122,1965,242,22.62,0,,,23,104509,9003,489.0,0,33641,117335,21.26,0.0,99,4.3,0.289,0.36,0.215,2084,15635,827,4.903,409,1244,0.03,211,118,832,6.936,10.766
,3478,608,22.09,0,,,0,40908,3597,,,13271,44572,,,,,0.59,0.638,0.541,40975,,,0.964,202,0,0.0,75,46,2338,2.137,17.103
126,1287,84,22.47,0,,,24,107668,9304,513.0,0,34687,120860,21.38,0.0,102,4.25,0.054,0.236,0.075,172,16378,908,4.697,428,1281,0.03,211,119,172,6.697,11.264
309,1411,92,22.49,0,,,34,113740,11839,852.0,1,31939,130798,25.06,0.03,274,8.06,0.086,0.259,0.082,1222,19859,948,5.07,505,468,0.01,215,124,297,7.138,10.645
,3688,652,20.95,0,,,0,42932,3783,,,13905,46790,,,,,0.629,0.676,0.58,43008,,,0.888,202,0,0.0,80,47,2507,2.25,15.976
173,1555,128,21.93,0,,,28,129831,10322,934.0,0,44060,140788,33.36,0.0,145,5.18,0.143,0.285,0.114,2445,12122,771,3.531,429,1025,0.02,22,11,507,5.743,11.533
202,1523,194,22.77,0,,,26,99792,7277,618.0,0,27702,114646,23.77,0.0,176,6.77,0.111,0.279,0.173,501,17324,629,5.295,305,704,0.02,530,231,464,7.194,11.069
126,2147,312,22.17,0,,,24,111126,9579,513.0,0,35769,124757,21.38,0.0,102,4.25,0.352,0.394,0.278,3769,17497,929,4.719,435,1400,0.04,211,118,1080,6.875,11.004
204,1627,210,22.56,0,,,31,102064,9261,699.0,1,29531,116970,22.55,0.03,172,5.55,0.187,0.298,0.187,2554,21504,1206,5.624,598,1570,0.05,219,132,588,7.424,10.731
114,2248,352,22.26,0,,,21,97046,8360,441.0,0,31242,108949,21.0,0.0,93,4.43,0.368,0.412,0.313,4726,13469,661,4.501,360,1032,0.03,211,119,1208,6.339,11.497
2849,1318,36,22.33,0,,,151,66501,1849,13040.0,8,20713,74839,86.36,0.05,2690,17.81,0.076,0.242,0.032,361,83524,8171,9.697,1592,4050,0.18,58,31,176,10.929,4.637
203,1582,198,22.38,0,,,32,97019,9418,732.0,0,29375,111448,22.88,0.0,171,5.34,0.184,0.29,0.176,1669,22751,1171,5.812,452,1554,0.05,209,118,534,7.506,10.34
164,1459,106,22.49,0,,,26,123386,9807,847.0,0,41865,133782,32.58,0.0,138,5.31,0.105,0.268,0.094,3263,10789,675,3.568,374,921,0.02,22,11,387,5.957,11.847
122,2100,304,22.44,0,,,23,105417,9103,489.0,0,33903,118382,21.26,0.0,99,4.3,0.34,0.385,0.27,3031,15922,830,4.73,409,1279,0.03,211,118,1015,6.736,11.103
126,1211,14,22.59,0,,,24,107566,9292,513.0,0,34675,120723,21.38,0.0,102,4.25,0.019,0.222,0.012,47,16357,889,4.477,426,1279,0.03,211,119,47,6.575,11.356
2796,1437,68,22.69,0,,,151,66182,1841,13040.0,8,20620,74477,86.36,0.05,2638,17.59,0.124,0.264,0.06,915,82712,8147,9.731,1592,4052,0.18,58,31,329,10.774,5.032
138,1193,0,22.97,0,,,27,122942,10623,585.0,0,39697,137936,21.67,0.0,111,4.11,0.013,0.219,0.0,16,20927,1140,4.684,502,1751,0.04,211,118,16,6.896,11.498
