NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
,12804,7430,12.05,0,,,0,15106,255,,,4919,18932,,,,,0.48,0.307,0.315,18678,,,0.504,202,0,0.0,3573,1639,14519,0.956,9.647
170,14404,7778,135.79,0,,,20,864439,28967,440.0,0,289212,1056069,22.0,0.0,150,7.5,0.534,0.345,0.33,42523,26504,204,12.63,205,251,0.0,9806,4119,15803,23.229,83.684
8,7923,750,19.46,0,,,2,23016,2034,84.0,0,7066,25169,42.0,0.0,6,3.0,0.084,0.19,0.032,12497,149,16,0.906,203,33,0.0,45,33,2676,1.662,13.666
1158,8101,986,117.61,0,,,56,539197,52686,2988.0,23,153995,599567,53.36,0.41,1079,19.27,0.099,0.194,0.042,10489,139762,5951,13.002,1123,6297,0.04,174,39,3339,18.45,63.764
1158,8101,986,119.26,0,,,56,539453,52722,2988.0,23,154057,599857,53.36,0.41,1079,19.27,0.099,0.194,0.042,10489,139762,5951,12.72,1123,6297,0.04,174,39,3339,17.862,64.651
,11084,3068,8.03,0,,,0,7049,176,,,1353,8582,,,,,0.407,0.265,0.13,8407,,,0.262,202,0,0.0,1359,668,8129,0.595,6.409
,11084,3068,7.99,0,,,0,7049,176,,,1353,8582,,,,,0.407,0.265,0.13,8407,,,0.237,202,0,0.0,1359,668,8129,0.572,6.495
8,7923,750,18.41,0,,,2,23012,2033,114.0,0,7067,25164,57.0,0.0,6,3.0,0.084,0.19,0.032,12497,149,16,0.835,203,33,0.0,45,33,2676,1.504,12.957
8,7923,750,18.04,0,,,2,23026,2036,114.0,0,7070,25180,57.0,0.0,6,3.0,0.084,0.19,0.032,12510,149,16,0.873,203,33,0.0,45,33,2676,1.539,12.615
43995,6933,912,286.63,0,,,354,1004323,103148,66705.0,209,236965,1229798,188.43,0.59,43432,122.69,0.117,0.166,0.039,9336,2121262,118737,112.888,38643,50265,0.22,639,201,2377,121.265,52.204
43995,6933,912,287.94,0,,,354,1004323,103148,66705.0,209,236965,1229798,188.43,0.59,43432,122.69,0.117,0.166,0.039,9336,2121262,118737,111.202,38643,50265,0.22,639,201,2377,119.957,50.156
,12804,7430,11.97,0,,,0,15106,255,,,4919,18932,,,,,0.48,0.307,0.315,18678,,,0.538,202,0,0.0,3573,1639,14519,1.056,9.434
,12804,7430,11.97,0,,,0,15106,255,,,4919,18932,,,,,0.48,0.307,0.315,18678,,,0.475,202,0,0.0,3573,1639,14519,0.989,9.354
,11084,3068,7.57,0,,,0,7049,176,,,1353,8582,,,,,0.407,0.265,0.13,8407,,,0.208,202,0,0.0,1359,668,8129,0.551,6.121
