NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
11,1263,188,24.87,0,,,5,67279,8559,16.0,0,2255,76025,3.2,0.0,7,1.4,0.833,0.804,0.623,66162,157,83,4.223,202,158,0.04,143,115,600,5.697,14.575
24,1257,184,24.37,0,,,9,20588,2292,72.0,0,1040,23175,8.0,0.0,20,2.22,0.854,0.801,0.609,16389,915,277,14.49,202,474,0.19,30,21,579,15.063,6.685
24,1257,184,24.39,0,,,9,20085,2233,72.0,0,1017,22604,8.0,0.0,20,2.22,0.854,0.801,0.609,15883,892,270,14.303,202,472,0.19,30,21,579,14.843,6.801
71,1525,282,24.84,0,,,16,34614,3161,93.0,0,2141,38571,5.81,0.0,57,3.56,0.896,0.971,0.934,10690,1931,339,12.903,205,583,0.16,53,21,867,13.739,8.043
1,974,114,24.82,0,,,2,59149,7595,3.0,0,2178,67434,1.5,0.0,0,0.0,0.542,0.62,0.377,59656,250,2,5.84,202,7,0.0,635,334,378,7.14,13.501
25,973,114,24.76,0,,,10,19739,2255,100.0,0,959,22371,10.0,0.0,20,2.22,0.542,0.62,0.377,5592,977,213,13.683,205,297,0.11,64,27,378,14.147,7.86
1,1003,122,24.97,0,,,3,77196,8966,9.0,0,3283,87354,3.0,0.0,0,0.0,0.542,0.639,0.404,76430,457,2,5.178,202,7,0.0,948,507,407,6.524,14.473
21,932,92,24.86,0,,,6,23287,2660,38.0,0,1021,26337,6.33,0.0,17,2.83,0.521,0.594,0.305,2931,681,54,13.315,202,94,0.04,120,49,323,13.865,8.243
21,886,84,24.46,0,,,6,22089,2496,38.0,0,954,24968,6.33,0.0,17,2.83,0.5,0.564,0.278,1733,626,42,12.652,202,73,0.03,120,50,296,13.185,8.402
36,1278,192,25.11,0,,,13,47535,4480,55.0,0,2509,53031,4.23,0.0,25,1.92,0.833,0.814,0.636,3291,1882,231,12.506,205,403,0.1,112,49,605,13.395,8.525
1,974,114,24.14,0,,,2,63943,8684,3.0,0,2202,73162,1.5,0.0,0,0.0,0.542,0.62,0.377,64266,402,2,7.996,202,7,0.0,450,230,378,9.289,11.456
11,1395,240,24.34,0,,,5,51627,6701,16.0,0,1923,58658,3.2,0.0,7,1.4,0.854,0.889,0.795,50236,162,81,4.657,202,156,0.05,263,155,745,6.014,14.125
1,1003,122,24.48,0,,,2,76165,8940,3.0,0,3424,86018,1.5,0.0,0,0.0,0.542,0.639,0.404,76738,630,2,5.767,202,7,0.0,703,391,407,7.419,13.239
11,1263,188,24.43,0,,,5,66066,8408,16.0,0,2219,74662,3.2,0.0,7,1.4,0.833,0.804,0.623,64950,157,83,4.192,202,158,0.04,143,115,600,5.798,14.254
71,1525,282,24.56,0,,,17,36308,3357,106.0,0,2215,40485,6.24,0.0,57,3.35,0.896,0.971,0.934,11391,1996,351,12.897,205,591,0.15,56,22,867,13.689,7.732
1,974,114,24.44,0,,,2,50712,6875,3.0,0,1753,58015,1.5,0.0,0,0.0,0.542,0.62,0.377,50944,317,2,8.213,202,7,0.0,361,185,378,9.153,11.991
71,1516,276,25.04,0,,,17,35611,3289,106.0,0,2181,39699,6.24,0.0,57,3.35,0.896,0.966,0.914,10678,1971,346,13.125,205,589,0.16,56,22,852,13.855,8.103
32,1368,226,24.39,0,,,12,43683,4119,48.0,0,2301,48734,4.0,0.0,22,1.83,0.833,0.871,0.748,9037,1677,196,11.698,205,342,0.09,112,50,703,12.739,8.652
21,859,72,24.99,0,,,6,20930,2352,38.0,0,905,23653,6.33,0.0,17,2.83,0.5,0.547,0.238,569,598,36,13.065,202,69,0.03,120,52,258,13.599,8.742
24,1257,184,24.76,0,,,9,20245,2250,72.0,0,1024,22786,8.0,0.0,20,2.22,0.854,0.801,0.609,16044,899,274,14.49,202,474,0.19,30,21,579,15.019,7.023
32,1346,216,24.41,0,,,12,41031,3824,48.0,0,2186,45749,4.0,0.0,22,1.83,0.833,0.857,0.715,6365,1572,191,11.9,205,342,0.09,112,48,673,12.763,8.7
11,1395,240,24.74,0,,,5,60723,7873,16.0,0,2204,68927,3.2,0.0,7,1.4,0.854,0.889,0.795,59334,162,81,4.788,202,156,0.04,269,170,745,6.228,14.032
24,1257,184,24.08,0,,,9,20133,2238,72.0,0,1018,22660,8.0,0.0,20,2.22,0.854,0.801,0.609,15933,893,271,13.745,202,472,0.19,30,21,579,14.34,6.96
11,1395,240,24.21,0,,,5,50998,6613,16.0,0,1908,57942,3.2,0.0,7,1.4,0.854,0.889,0.795,49609,162,81,4.839,202,156,0.05,263,154,745,6.001,13.978
24,1257,184,24.79,0,,,9,22408,2515,72.0,0,1130,25228,8.0,0.0,20,2.22,0.854,0.801,0.609,18205,1005,298,14.71,202,533,0.2,30,21,579,15.178,6.728
32,974,114,24.89,0,,,6,28617,3384,60.0,0,1263,32373,10.0,0.0,28,4.67,0.542,0.62,0.377,19472,715,198,13.563,202,374,0.11,111,47,378,14.209,7.902
1,1003,122,24.97,0,,,3,60302,6886,9.0,0,2588,68181,3.0,0.0,0,0.0,0.542,0.639,0.404,59380,329,2,5.21,202,7,0.0,794,409,407,6.577,14.138
36,1225,172,24.68,0,,,13,46134,4341,55.0,0,2447,51468,4.23,0.0,25,1.92,0.833,0.78,0.57,1878,1826,226,11.77,205,391,0.1,112,50,538,12.674,8.589
32,1390,226,24.64,0,,,12,44255,4191,48.0,0,2332,49383,4.0,0.0,22,1.83,0.854,0.885,0.748,9611,1697,208,11.645,205,367,0.09,112,51,708,12.465,9.101
24,1257,184,24.74,0,,,9,23489,2645,72.0,0,1184,26450,8.0,0.0,20,2.22,0.854,0.801,0.609,19288,1059,318,14.501,202,570,0.2,30,21,579,15.016,6.809
