NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
,,,,,,,
4153,421,186,899.6,0,,,167
3972,472,220,899.63,0,,,84
4179,477,220,899.72,0,,,172
,,,,,,,
4151,464,220,899.73,0,,,100
,,,,,,,
4179,477,220,899.61,0,,,172
,,,,,,,
,,,,,,,
,,,,,,,
4239,418,186,899.74,0,,,173
4179,477,220,899.78,0,,,172
2871,465,220,899.73,0,,,52
,,,,,,,
,,,,,,,
4179,477,220,899.74,0,,,172
4239,444,192,899.58,0,,,173
,,,,,,,
3723,418,186,899.64,0,,,86
4062,447,192,899.48,0,,,160
3107,411,186,899.7,0,,,85
4325,440,190,899.83,0,,,179
4951,319,158,902.46,0,,,183
4325,477,220,899.76,0,,,179
,,,,,,,
4416,473,220,899.9,0,,,132
6205,418,186,899.81,0,,,119
4325,446,192,899.72,0,,,179
,,,,,,,
