NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
2160,783,398,185.52,1,,,202
1620,783,398,177.52,1,,,122
2588,783,398,66.64,1,,,177
749,788,398,904.62,0,,,98
2160,783,398,180.77,1,,,202
1326,783,398,28.63,1,,,83
2160,783,398,182.2,1,,,202
2584,783,398,486.15,1,,,244
2865,783,398,517.99,1,,,282
2588,783,398,68.55,1,,,177
2588,783,398,68.16,1,,,177
2093,783,398,44.21,1,,,174
2865,783,398,522.62,1,,,282
2160,783,398,180.45,1,,,202
2093,783,398,45.84,1,,,174
2588,783,398,66.09,1,,,177
2588,783,398,66.42,1,,,177
1412,784,398,899.87,0,,,125
2160,783,398,184.7,1,,,202
2865,783,398,526.41,1,,,282
2160,783,398,186.19,1,,,202
2588,783,398,67.48,1,,,177
2160,783,398,187.62,1,,,202
2588,783,398,67.05,1,,,177
2160,783,398,181.29,1,,,202
2160,783,398,185.06,1,,,202
1927,783,398,104.67,1,,,140
1927,783,398,103.84,1,,,140
2093,783,398,42.35,1,,,174
2802,783,398,108.65,1,,,212
