NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
14521,734,342,899.71,0,,,130
6662,729,342,899.72,0,,,135
6662,729,342,899.72,0,,,135
8830,825,400,900.11,0,,,167
8747,825,400,899.63,0,,,166
8747,825,400,899.53,0,,,166
14578,742,342,899.59,0,,,252
6662,729,342,901.5,0,,,135
10924,742,342,899.64,0,,,184
6662,729,342,899.75,0,,,135
1037,613,346,899.76,0,,,28
6662,729,342,899.68,0,,,135
,,,,,,,
,,,,,,,
,,,,,,,
6890,807,400,899.78,0,,,105
6662,729,342,899.65,0,,,135
1060,752,348,900.45,0,,,29
7936,801,400,899.68,0,,,165
1060,726,342,900.28,0,,,29
41027,709,370,902.03,0,,,100
6662,729,342,899.78,0,,,135
12892,742,342,899.78,0,,,107
6662,729,342,899.75,0,,,135
,,,,,,,
6662,729,342,899.82,0,,,135
6662,729,342,899.72,0,,,135
,,,,,,,
1060,752,348,899.64,0,,,29
41027,821,400,902.31,0,,,100
