NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
3065,793,406,67.58,1,,,207
2349,792,406,901.26,0,,,167
2799,756,394,899.92,0,,,230
8473,793,406,299.69,1,,,241
2349,792,406,899.92,0,,,167
7433,793,406,122.09,1,,,195
6156,793,406,701.47,1,,,224
2206,791,406,899.85,0,,,88
3065,793,406,65.77,1,,,207
8473,793,406,297.05,1,,,241
2799,756,394,899.89,0,,,230
2349,792,406,899.92,0,,,167
1906,771,396,899.97,0,,,145
2799,756,394,899.88,0,,,230
2206,791,406,899.92,0,,,88
6156,793,406,714.49,1,,,224
2799,756,394,899.94,0,,,230
2356,793,406,899.89,0,,,168
,,,,,,,
,,,,,,,
,,,,,,,
2356,793,406,899.88,0,,,168
2799,756,394,899.79,0,,,230
,,,,,,,
2799,756,394,899.88,0,,,230
3408,793,406,107.1,1,,,209
2799,756,394,899.9,0,,,230
,,,,,,,
2799,756,394,899.91,0,,,230
3302,793,406,899.92,0,,,306
