NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
2510,245,100,24.82,1,,,62
2878,245,100,27.07,1,,,65
2005,245,100,30.19,0,,,59
2067,245,100,30.18,0,,,62
3435,245,100,30.18,0,,,54
2160,245,100,24.04,1,,,43
3153,245,100,30.18,0,,,112
3283,202,82,30.18,0,,,120
2510,245,100,24.69,1,,,62
3031,212,84,30.07,0,,,82
3623,245,100,30.18,0,,,130
3292,243,100,30.18,0,,,136
3202,245,100,30.17,0,,,74
1449,234,100,30.19,0,,,45
2071,245,100,30.2,0,,,63
3862,200,82,30.07,0,,,140
3117,245,100,30.15,0,,,84
3158,202,82,30.15,0,,,131
2054,245,100,30.12,0,,,59
2510,245,100,24.69,1,,,62
2661,231,88,30.17,0,,,76
,,,,,,,
3117,242,100,30.19,0,,,84
3198,245,100,30.16,0,,,50
3690,79,28,30.21,0,,,115
3198,246,100,30.22,0,,,50
3281,206,82,30.14,0,,,51
4324,247,100,30.19,0,,,138
2938,242,100,30.18,0,,,81
2067,245,100,30.18,0,,,62
