NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
1845,304,134,29.46,0,,,110
3545,343,154,30.08,0,,,31
1544,302,134,30.02,0,,,43
1647,357,160,30.04,0,,,36
3545,343,154,30.12,0,,,31
3545,343,154,30.13,0,,,31
2469,310,134,30.08,0,,,49
1417,358,160,30.13,0,,,24
1509,361,160,30.1,0,,,42
3545,361,160,30.1,0,,,31
3545,343,154,30.1,0,,,31
1602,349,160,30.05,0,,,35
1558,361,160,30.07,0,,,43
1498,313,134,30.12,0,,,46
1602,28,0,29.48,0,,,35
1498,339,140,30.06,0,,,46
1498,312,134,30.07,0,,,46
1789,309,134,30.05,0,,,100
2297,310,134,30.01,0,,,47
3491,363,160,30.09,0,,,31
1538,358,160,30.08,0,,,47
1587,303,134,30.09,0,,,50
3545,361,160,30.14,0,,,31
1271,358,160,30.04,0,,,46
1448,339,140,30.04,0,,,45
3491,325,150,29.74,0,,,30
1448,319,136,30.06,0,,,45
1534,310,134,30.1,0,,,40
1498,311,134,30.14,0,,,46
1448,339,140,30.11,0,,,45
