NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
502,220,86,9.08,1,,,29
520,220,86,8.15,1,,,30
550,220,86,9.83,1,,,34
550,220,86,9.89,1,,,34
443,220,86,8.44,1,,,27
502,220,86,8.33,1,,,29
435,220,86,8.26,1,,,25
485,220,86,11.33,1,,,28
443,220,86,8.61,1,,,27
443,220,86,8.57,1,,,27
443,220,86,8.34,1,,,27
550,220,86,7.47,1,,,34
443,220,86,8.94,1,,,27
647,220,86,11.81,1,,,37
550,220,86,10.8,1,,,34
550,220,86,9.79,1,,,34
502,220,86,8.34,1,,,29
502,220,86,8.62,1,,,29
550,220,86,9.64,1,,,34
550,220,86,9.81,1,,,34
535,220,86,10.74,1,,,40
544,220,86,9.47,1,,,30
502,220,86,8.21,1,,,29
485,220,86,10.35,1,,,28
502,220,86,8.18,1,,,29
502,220,86,8.25,1,,,29
550,220,86,9.86,1,,,34
550,220,86,9.91,1,,,34
566,220,86,8.6,1,,,35
435,220,86,7.46,1,,,25
