NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
2510,245,100,26.4,1,,,62
2878,245,100,28.42,1,,,65
3049,245,100,44.58,1,,,89
3049,245,100,43.78,1,,,89
3575,245,100,32.76,1,,,56
2160,245,100,26.37,1,,,43
7496,245,100,56.38,1,,,229
4036,245,100,34.84,1,,,130
2510,245,100,25.02,1,,,62
3776,245,100,37.68,1,,,100
7496,245,100,54.89,1,,,229
6294,245,100,53.24,1,,,208
3286,245,100,32.14,1,,,76
3744,245,100,41.92,1,,,112
3049,245,100,44.58,1,,,89
7788,245,100,56.02,1,,,266
3776,245,100,36.75,1,,,100
6294,245,100,51.63,1,,,208
2850,245,100,46.43,1,,,81
2510,245,100,25.21,1,,,62
3776,245,100,36.03,1,,,100
3538,245,100,29.12,1,,,79
3776,245,100,35.42,1,,,100
3575,245,100,33.63,1,,,56
5670,245,100,49.51,1,,,157
3575,245,100,31.68,1,,,56
3575,245,100,32.27,1,,,56
4954,245,100,43.19,1,,,149
3776,245,100,36.55,1,,,100
3049,245,100,43.37,1,,,89
