NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
4998,419,190,899.76,0,,,165
5221,364,160,899.7,0,,,98
6125,412,190,899.76,0,,,486
12856,388,166,899.53,0,,,118
15798,369,160,899.74,0,,,195
3701,419,190,899.87,0,,,140
,,,,,,,
4013,419,190,901.05,0,,,163
3701,414,190,899.73,0,,,140
,,,,,,,
4535,419,190,899.74,0,,,93
4917,419,190,899.79,0,,,164
4535,419,190,899.59,0,,,93
3339,416,190,899.8,0,,,110
5221,364,160,899.69,0,,,98
,,,,,,,
,,,,,,,
7181,360,160,899.96,0,,,469
3187,359,160,899.78,0,,,81
3701,419,190,899.76,0,,,140
22913,369,160,899.74,0,,,271
4998,419,190,899.79,0,,,165
4917,419,190,899.65,0,,,164
4535,419,190,899.87,0,,,93
12856,388,166,899.52,0,,,118
4773,364,160,899.67,0,,,146
5221,364,160,899.76,0,,,98
4535,419,190,899.73,0,,,93
6125,412,190,899.76,0,,,486
,,,,,,,
