NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
5927,842,506,30.32,0,,,117
1963,958,572,30.33,0,,,47
5993,808,488,30.34,0,,,118
4929,86,2,30.36,0,,,79
943,86,2,30.37,0,,,31
1009,784,490,30.34,0,,,33
207,1006,596,30.33,0,,,7
222,1006,596,30.35,0,,,4
199,86,2,30.64,0,,,7
238,939,570,30.34,0,,,8
215,1006,596,30.35,0,,,5
5383,553,308,30.31,0,,,92
1009,869,524,30.3,0,,,33
6059,808,488,30.35,0,,,119
7485,591,320,30.33,0,,,134
300,939,570,30.36,0,,,10
5901,557,300,30.34,0,,,94
235,940,570,30.35,0,,,7
6385,426,224,30.33,0,,,101
785,617,380,30.36,0,,,17
3980,86,2,30.41,0,,,107
976,786,490,30.36,0,,,32
732,623,382,30.37,0,,,16
1009,822,506,30.33,0,,,33
199,837,506,30.34,0,,,7
199,847,516,30.37,0,,,7
1108,952,574,30.32,0,,,36
165,939,570,30.37,0,,,5
136,1006,596,30.31,0,,,4
176,1020,606,30.29,0,,,7
