NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
2624,904,494,30.31,0,,,179
2624,904,494,30.35,0,,,179
7077,881,466,30.37,0,,,80
7164,881,466,30.33,0,,,83
7121,881,466,30.33,0,,,82
626,1017,586,30.34,0,,,22
7164,881,466,30.36,0,,,83
2875,187,94,30.36,0,,,72
2211,721,434,30.34,0,,,51
2572,686,318,30.34,0,,,78
553,760,448,30.34,0,,,52
554,1057,612,30.38,0,,,53
1250,458,234,30.33,0,,,37
856,619,364,30.38,0,,,40
2341,150,72,30.33,0,,,53
1250,544,320,30.32,0,,,37
568,851,490,30.37,0,,,20
563,910,524,30.34,0,,,21
1185,1003,582,30.36,0,,,36
2624,904,494,30.35,0,,,179
3058,800,454,30.35,0,,,68
7077,881,466,30.34,0,,,80
490,908,524,30.35,0,,,18
506,908,522,30.32,0,,,20
7164,875,462,30.35,0,,,82
553,883,516,30.33,0,,,52
7238,881,466,30.35,0,,,87
466,838,486,30.36,0,,,10
7078,881,466,30.32,0,,,81
390,906,522,30.35,0,,,10
