NoAffS,VL,VC,Time,Result
34,4764,15642,30.44,0
7,1531,5352,30.41,0
14,4764,15642,30.44,0
14,4764,15642,30.47,0
14,4764,15642,30.46,0
7,1531,5352,30.34,0
14,4764,15642,30.4,0
7,1531,5352,30.37,0
14,4764,15642,30.41,0
14,4764,15642,30.4,0
7,1531,5352,30.43,0
14,4764,15642,30.4,0
14,4764,15642,30.36,0
14,4764,15642,30.42,0
14,4764,15642,30.41,0
14,4764,15642,30.41,0
14,4764,15642,30.44,0
7,1531,5352,30.45,0
14,4764,15642,30.4,0
14,4764,15642,30.51,0
14,4764,15642,30.43,0
14,4764,15642,30.43,0
7,1531,5352,30.43,0
34,4764,15642,30.49,0
14,4764,15642,30.5,0
14,4764,15642,30.43,0
34,4764,15642,30.45,0
14,4764,15642,30.44,0
14,4764,15642,30.42,0
7,1531,5352,30.44,0
