NoAffS,VL,VC,Time,Result
7,507,2162,4.61,1
7,507,2162,4.63,1
7,507,2162,4.74,1
7,507,2162,4.62,1
7,507,2162,4.77,1
7,507,2162,4.67,1
7,507,2162,4.73,1
7,507,2162,4.68,1
7,507,2162,4.71,1
7,507,2162,4.71,1
7,507,2162,4.68,1
7,507,2162,4.7,1
7,507,2162,4.72,1
7,507,2162,4.75,1
7,507,2162,4.71,1
7,507,2162,4.68,1
7,507,2162,4.85,1
7,507,2162,4.81,1
7,507,2162,4.66,1
7,507,2162,4.83,1
7,507,2162,4.71,1
7,507,2162,4.64,1
7,507,2162,4.63,1
7,507,2162,4.78,1
7,507,2162,4.69,1
7,507,2162,4.64,1
7,507,2162,4.66,1
7,507,2162,4.6,1
7,507,2162,4.69,1
7,507,2162,4.7,1
