NoAffS,VL,VC,Time,Result
15,507,2162,6.84,1
15,507,2162,6.67,1
15,507,2162,6.63,1
15,507,2162,6.83,1
15,507,2162,6.72,1
15,507,2162,6.58,1
15,507,2162,6.63,1
15,507,2162,6.85,1
15,507,2162,6.63,1
15,507,2162,6.66,1
15,507,2162,6.79,1
15,507,2162,6.71,1
15,507,2162,6.93,1
15,507,2162,6.6,1
15,507,2162,6.8,1
15,507,2162,6.7,1
15,507,2162,6.74,1
15,507,2162,6.82,1
15,507,2162,6.8,1
15,507,2162,6.84,1
15,507,2162,6.67,1
15,507,2162,6.93,1
15,507,2162,6.69,1
15,507,2162,6.66,1
15,507,2162,6.85,1
15,507,2162,6.76,1
15,507,2162,6.94,1
15,507,2162,6.68,1
15,507,2162,6.79,1
15,507,2162,6.71,1
