NoAffS,VL,VC,Time,Result
15,507,2162,6.51,1
15,507,2162,6.24,1
15,507,2162,6.48,1
15,507,2162,6.44,1
15,507,2162,6.57,1
15,507,2162,6.39,1
15,507,2162,6.48,1
15,507,2162,6.39,1
15,507,2162,6.65,1
15,507,2162,6.45,1
15,507,2162,6.53,1
15,507,2162,6.44,1
15,507,2162,6.38,1
15,507,2162,6.45,1
15,507,2162,6.45,1
15,507,2162,6.32,1
15,507,2162,6.41,1
15,507,2162,6.37,1
15,507,2162,6.36,1
15,507,2162,6.4,1
15,507,2162,6.4,1
15,507,2162,6.36,1
15,507,2162,6.27,1
15,507,2162,6.4,1
15,507,2162,6.43,1
15,507,2162,6.48,1
15,507,2162,6.64,1
15,507,2162,6.52,1
15,507,2162,6.49,1
15,507,2162,6.35,1
