NoAffS,VL,VC,Time,Result
15,507,2162,6.77,1
15,507,2162,6.76,1
15,507,2162,6.85,1
15,507,2162,6.99,1
15,507,2162,6.92,1
15,507,2162,7.05,1
15,507,2162,6.72,1
15,507,2162,6.78,1
15,507,2162,6.86,1
15,507,2162,6.91,1
15,507,2162,6.71,1
15,507,2162,6.83,1
15,507,2162,6.69,1
15,507,2162,6.81,1
15,507,2162,7.0,1
15,507,2162,6.86,1
15,507,2162,6.75,1
15,507,2162,6.8,1
15,507,2162,6.82,1
15,507,2162,6.69,1
15,507,2162,6.7,1
15,507,2162,6.76,1
15,507,2162,6.93,1
15,507,2162,6.89,1
15,507,2162,6.87,1
15,507,2162,6.72,1
15,507,2162,7.03,1
15,507,2162,7.01,1
15,507,2162,6.81,1
15,507,2162,7.04,1
