NoAffS,VL,VC,Time,Result
18,507,2162,6.89,1
18,507,2162,6.73,1
18,507,2162,6.97,1
18,507,2162,6.73,1
18,507,2162,6.8,1
18,507,2162,6.84,1
18,507,2162,6.85,1
18,507,2162,6.73,1
18,507,2162,6.89,1
18,507,2162,6.72,1
18,507,2162,6.87,1
18,507,2162,6.91,1
18,507,2162,6.8,1
18,507,2162,6.82,1
18,507,2162,6.8,1
18,507,2162,6.96,1
18,507,2162,6.69,1
18,507,2162,6.99,1
18,507,2162,6.82,1
18,507,2162,6.75,1
18,507,2162,6.79,1
18,507,2162,6.78,1
18,507,2162,6.82,1
18,507,2162,6.77,1
18,507,2162,6.98,1
18,507,2162,6.67,1
18,507,2162,6.98,1
18,507,2162,6.72,1
18,507,2162,6.82,1
18,507,2162,6.73,1
