NoAffS,VL,VC,Time,Result
15,507,2162,6.89,1
15,507,2162,7.04,1
15,507,2162,6.65,1
15,507,2162,6.92,1
15,507,2162,6.97,1
15,507,2162,6.99,1
15,507,2162,6.91,1
15,507,2162,6.7,1
15,507,2162,6.74,1
15,507,2162,6.95,1
15,507,2162,6.94,1
15,507,2162,6.69,1
15,507,2162,6.71,1
15,507,2162,6.9,1
15,507,2162,7.0,1
15,507,2162,7.05,1
15,507,2162,6.84,1
15,507,2162,6.74,1
15,507,2162,6.83,1
15,507,2162,6.88,1
15,507,2162,6.9,1
15,507,2162,6.73,1
15,507,2162,6.89,1
15,507,2162,7.0,1
15,507,2162,6.8,1
15,507,2162,6.8,1
15,507,2162,6.79,1
15,507,2162,6.75,1
15,507,2162,6.77,1
15,507,2162,6.96,1
