NoAffS,VL,VC,Time,Result
15,507,2162,7.01,1
15,507,2162,6.76,1
15,507,2162,6.75,1
15,507,2162,6.92,1
15,507,2162,6.74,1
15,507,2162,6.83,1
15,507,2162,6.8,1
15,507,2162,6.91,1
15,507,2162,6.85,1
15,507,2162,6.84,1
15,507,2162,6.84,1
15,507,2162,6.99,1
15,507,2162,6.78,1
15,507,2162,6.85,1
15,507,2162,7.01,1
15,507,2162,6.87,1
15,507,2162,7.0,1
15,507,2162,6.93,1
15,507,2162,7.01,1
15,507,2162,6.73,1
15,507,2162,6.83,1
15,507,2162,7.13,1
15,507,2162,6.75,1
15,507,2162,6.99,1
15,507,2162,6.73,1
15,507,2162,6.78,1
15,507,2162,6.94,1
15,507,2162,6.8,1
15,507,2162,6.93,1
15,507,2162,6.79,1
