NoAffS,VL,VC,Time,Result
15,507,2162,6.71,1
15,507,2162,6.74,1
15,507,2162,6.82,1
15,507,2162,6.82,1
15,507,2162,6.76,1
15,507,2162,6.86,1
15,507,2162,6.77,1
15,507,2162,6.72,1
15,507,2162,6.84,1
15,507,2162,7.01,1
15,507,2162,6.75,1
15,507,2162,6.88,1
15,507,2162,6.79,1
15,507,2162,6.83,1
15,507,2162,6.88,1
15,507,2162,7.02,1
15,507,2162,6.73,1
15,507,2162,6.68,1
15,507,2162,6.81,1
15,507,2162,6.92,1
15,507,2162,6.81,1
15,507,2162,6.99,1
15,507,2162,6.89,1
15,507,2162,6.65,1
15,507,2162,6.7,1
15,507,2162,6.97,1
15,507,2162,6.72,1
15,507,2162,6.8,1
15,507,2162,6.8,1
15,507,2162,6.8,1
