NoAffS,VL,VC,Time,Result
15,507,2162,6.94,1
15,507,2162,6.83,1
15,507,2162,6.66,1
15,507,2162,6.58,1
15,507,2162,6.82,1
15,507,2162,6.81,1
15,507,2162,6.78,1
15,507,2162,6.9,1
15,507,2162,6.68,1
15,507,2162,6.72,1
15,507,2162,6.96,1
15,507,2162,6.81,1
15,507,2162,6.73,1
15,507,2162,6.95,1
15,507,2162,6.74,1
15,507,2162,6.74,1
15,507,2162,6.7,1
15,507,2162,6.86,1
15,507,2162,7.07,1
15,507,2162,6.79,1
15,507,2162,6.79,1
15,507,2162,6.86,1
15,507,2162,6.7,1
15,507,2162,6.81,1
15,507,2162,6.81,1
15,507,2162,6.64,1
15,507,2162,6.78,1
15,507,2162,6.8,1
15,507,2162,6.84,1
15,507,2162,6.79,1
