NoAffS,VL,VC,Time,Result
15,507,2162,6.68,1
15,507,2162,6.92,1
15,507,2162,6.78,1
15,507,2162,6.98,1
15,507,2162,6.88,1
15,507,2162,6.96,1
15,507,2162,6.76,1
15,507,2162,7.01,1
15,507,2162,7.03,1
15,507,2162,6.78,1
15,507,2162,6.93,1
15,507,2162,6.79,1
15,507,2162,6.73,1
15,507,2162,6.9,1
15,507,2162,6.8,1
15,507,2162,6.83,1
15,507,2162,6.82,1
15,507,2162,6.99,1
15,507,2162,6.82,1
15,507,2162,6.94,1
15,507,2162,6.91,1
15,507,2162,6.79,1
15,507,2162,6.88,1
15,507,2162,6.98,1
15,507,2162,6.9,1
15,507,2162,6.97,1
15,507,2162,6.66,1
15,507,2162,6.9,1
15,507,2162,6.91,1
15,507,2162,6.88,1
