NoAffS,VL,VC,Time,Result
15,507,2162,6.63,1
15,507,2162,6.59,1
15,507,2162,6.59,1
15,507,2162,6.71,1
15,507,2162,6.69,1
15,507,2162,6.59,1
15,507,2162,6.63,1
15,507,2162,6.68,1
15,507,2162,6.71,1
15,507,2162,6.6,1
15,507,2162,6.65,1
15,507,2162,6.64,1
15,507,2162,6.55,1
15,507,2162,6.7,1
15,507,2162,6.95,1
15,507,2162,6.74,1
15,507,2162,6.62,1
15,507,2162,6.62,1
15,507,2162,6.67,1
15,507,2162,6.77,1
15,507,2162,6.73,1
15,507,2162,6.82,1
15,507,2162,6.79,1
15,507,2162,6.89,1
15,507,2162,6.84,1
15,507,2162,6.51,1
15,507,2162,6.64,1
15,507,2162,6.63,1
15,507,2162,6.55,1
15,507,2162,6.67,1
