NoAffS,VL,VC,Time,Result
7,507,2162,5.08,1
7,507,2162,5.21,1
7,507,2162,5.13,1
7,507,2162,5.13,1
7,507,2162,5.06,1
7,507,2162,5.03,1
7,507,2162,5.07,1
7,507,2162,5.01,1
7,507,2162,5.05,1
7,507,2162,5.02,1
7,507,2162,5.15,1
7,507,2162,5.14,1
7,507,2162,5.11,1
7,507,2162,5.02,1
7,507,2162,5.08,1
7,507,2162,5.04,1
7,507,2162,5.07,1
7,507,2162,4.98,1
7,507,2162,5.23,1
7,507,2162,5.03,1
7,507,2162,5.25,1
7,507,2162,5.09,1
7,507,2162,5.1,1
7,507,2162,5.12,1
7,507,2162,4.97,1
7,507,2162,5.02,1
7,507,2162,5.14,1
7,507,2162,5.07,1
7,507,2162,5.03,1
7,507,2162,5.15,1
