NoAffS,VL,VC,Time,Result
15,507,2162,6.32,1
15,507,2162,6.28,1
15,507,2162,6.28,1
15,507,2162,6.41,1
15,507,2162,6.37,1
15,507,2162,6.29,1
15,507,2162,6.35,1
15,507,2162,6.39,1
15,507,2162,6.37,1
15,507,2162,6.29,1
15,507,2162,6.44,1
15,507,2162,6.5,1
15,507,2162,6.38,1
15,507,2162,6.36,1
15,507,2162,6.21,1
15,507,2162,6.43,1
15,507,2162,6.28,1
15,507,2162,6.58,1
15,507,2162,6.4,1
15,507,2162,6.46,1
15,507,2162,6.41,1
15,507,2162,6.38,1
15,507,2162,6.3,1
15,507,2162,6.36,1
15,507,2162,6.42,1
15,507,2162,6.41,1
15,507,2162,6.49,1
15,507,2162,6.32,1
15,507,2162,6.21,1
15,507,2162,6.5,1
