NoAffS,VL,VC,Time,Result
15,507,2162,6.29,1
15,507,2162,6.49,1
15,507,2162,6.16,1
15,507,2162,6.35,1
15,507,2162,6.18,1
15,507,2162,6.37,1
15,507,2162,6.34,1
15,507,2162,6.4,1
15,507,2162,6.32,1
15,507,2162,6.28,1
15,507,2162,6.21,1
15,507,2162,6.28,1
15,507,2162,6.46,1
15,507,2162,6.33,1
15,507,2162,6.52,1
15,507,2162,6.17,1
15,507,2162,6.43,1
15,507,2162,6.42,1
15,507,2162,6.34,1
15,507,2162,6.51,1
15,507,2162,6.23,1
15,507,2162,6.23,1
15,507,2162,6.46,1
15,507,2162,6.23,1
15,507,2162,6.33,1
15,507,2162,6.13,1
15,507,2162,6.16,1
15,507,2162,6.49,1
15,507,2162,6.35,1
15,507,2162,6.45,1
