NoAffS,VL,VC,Time,Result
15,507,2162,6.58,1
15,507,2162,6.72,1
15,507,2162,6.72,1
15,507,2162,6.6,1
15,507,2162,6.85,1
15,507,2162,6.81,1
15,507,2162,6.83,1
15,507,2162,6.78,1
15,507,2162,6.77,1
15,507,2162,6.61,1
15,507,2162,6.87,1
15,507,2162,6.81,1
15,507,2162,6.82,1
15,507,2162,6.69,1
15,507,2162,6.67,1
15,507,2162,6.58,1
15,507,2162,6.75,1
15,507,2162,6.78,1
15,507,2162,6.86,1
15,507,2162,6.77,1
15,507,2162,6.73,1
15,507,2162,6.62,1
15,507,2162,6.6,1
15,507,2162,6.76,1
15,507,2162,6.78,1
15,507,2162,6.81,1
15,507,2162,6.65,1
15,507,2162,6.55,1
15,507,2162,6.66,1
15,507,2162,6.74,1
