NoAffS,VL,VC,Time,Result
7,438,1900,5.03,1
7,438,1900,5.2,1
7,438,1900,4.98,1
7,438,1900,5.08,1
7,438,1900,5.15,1
7,438,1900,5.11,1
7,438,1900,4.99,1
7,438,1900,5.13,1
7,438,1900,5.06,1
7,438,1900,5.06,1
7,438,1900,5.14,1
7,438,1900,5.13,1
7,438,1900,4.94,1
7,438,1900,4.97,1
7,438,1900,5.07,1
7,438,1900,5.11,1
7,438,1900,5.05,1
7,438,1900,4.98,1
7,438,1900,5.12,1
7,438,1900,5.04,1
7,438,1900,5.04,1
7,438,1900,5.0,1
7,438,1900,5.28,1
7,438,1900,5.14,1
7,438,1900,5.16,1
7,438,1900,5.23,1
7,438,1900,5.13,1
7,438,1900,4.98,1
7,438,1900,5.04,1
7,438,1900,5.12,1
