NoAffS,VL,VC,Time,Result
7,438,1900,5.67,1
7,438,1900,5.94,1
7,438,1900,5.63,1
7,438,1900,5.72,1
7,438,1900,6.09,1
7,438,1900,6.0,1
7,438,1900,5.94,1
7,438,1900,5.95,1
7,438,1900,5.73,1
7,438,1900,5.7,1
7,438,1900,5.8,1
7,438,1900,5.67,1
7,438,1900,5.52,1
7,438,1900,5.69,1
7,438,1900,5.61,1
7,438,1900,5.65,1
7,438,1900,5.62,1
7,438,1900,5.71,1
7,438,1900,5.72,1
7,438,1900,5.65,1
7,438,1900,5.67,1
7,438,1900,5.81,1
7,438,1900,5.61,1
7,438,1900,5.69,1
7,438,1900,5.77,1
7,438,1900,5.64,1
7,438,1900,5.72,1
7,438,1900,6.02,1
7,438,1900,5.68,1
7,438,1900,5.67,1
