NoAffS,VL,VC,Time,Result
7,438,1900,6.17,1
7,438,1900,6.19,1
7,438,1900,6.06,1
7,438,1900,5.97,1
7,438,1900,6.18,1
7,438,1900,6.0,1
7,438,1900,6.4,1
7,438,1900,6.13,1
7,438,1900,5.99,1
7,438,1900,6.1,1
7,438,1900,6.51,1
7,438,1900,6.48,1
7,438,1900,6.05,1
7,438,1900,6.1,1
7,438,1900,5.96,1
7,438,1900,5.94,1
7,438,1900,6.17,1
7,438,1900,6.21,1
7,438,1900,6.18,1
7,438,1900,6.38,1
7,438,1900,6.09,1
7,438,1900,6.52,1
7,438,1900,6.11,1
7,438,1900,6.07,1
7,438,1900,6.12,1
7,438,1900,6.21,1
7,438,1900,6.13,1
7,438,1900,6.48,1
7,438,1900,6.43,1
7,438,1900,6.15,1
