NoAffS,VL,VC,Time,Result,AFC,SFC,NoR,NoIter,NoStop,AvgLenTP,DNonTItp,NoAbs,NoCSucc,AvgLenTPblk,DNonTItpblk,ENonTItp,ENonTItpblk,FCov,LCov,CCov,SizRS,TPredAbs,NoPredBAbs,TimPrec,NoBDDN,SizBDDQ,SizBDDQAvg,MaxWait,AvgWait,NoRL,TimPreAdj,TimTran
46,1071,156,23.72,0,,,18,43595,5464,374.0,0,9898,50443,20.78,0.0,28,1.56,0.154,0.302,0.173,606,5634,409,8.824,56355,780,0.06,151,67,310,9.788,10.791
530,1953,382,23.04,0,,,39,73803,9731,1239.0,35,19180,84721,31.77,0.9,456,11.69,0.375,0.551,0.424,3606,14080,990,9.394,44983,1465,0.06,41,22,1118,10.73,7.52
1292,1217,208,23.7,0,,,33,59322,8457,1952.0,0,13556,72759,59.15,0.0,1259,38.15,0.188,0.343,0.231,3644,24955,2312,8.056,9562,3740,0.17,308,127,473,9.161,9.926
1292,1162,166,23.59,0,,,33,57843,8252,1952.0,0,13205,70954,59.15,0.0,1259,38.15,0.173,0.328,0.184,2048,23902,2307,7.842,9562,3724,0.18,308,124,390,8.815,10.163
48,1046,144,23.83,0,,,20,24227,2698,416.0,0,6007,28423,20.8,0.0,28,1.4,0.144,0.295,0.16,570,5166,463,14.285,109928,872,0.11,106,43,290,15.173,6.363
48,1098,156,23.51,0,,,20,26503,3229,416.0,0,6451,31080,20.8,0.0,28,1.4,0.163,0.31,0.173,644,4184,460,13.676,103508,779,0.09,101,38,342,14.45,6.474
18,1049,150,23.61,0,,,16,38851,4769,607.0,0,8957,45331,37.94,0.0,2,0.13,0.149,0.296,0.166,585,3274,333,8.106,50691,537,0.05,135,62,291,9.145,11.208
46,1087,160,23.44,0,,,18,44189,5464,374.0,0,10095,51103,20.78,0.0,28,1.56,0.159,0.307,0.177,626,5634,409,7.984,46049,774,0.06,152,68,325,8.996,11.149
43,1060,150,23.25,0,,,17,44581,5380,351.0,0,10400,51905,20.65,0.0,26,1.53,0.149,0.299,0.166,602,5097,357,6.825,26585,607,0.05,152,71,296,7.921,11.861
48,1087,154,23.71,0,,,20,25976,3151,416.0,0,6318,30501,20.8,0.0,28,1.4,0.154,0.307,0.171,625,4184,460,14.22,108576,866,0.1,102,39,326,14.978,6.37
531,1953,382,24.0,0,,,40,77298,10199,1262.0,35,20094,88753,31.55,0.88,456,11.4,0.375,0.551,0.424,3564,15148,1054,10.579,76957,1555,0.06,41,22,1118,11.824,7.511
46,1063,156,23.78,0,,,18,40730,5029,374.0,0,9191,47558,20.78,0.0,28,1.56,0.154,0.3,0.173,578,5517,411,8.697,50479,696,0.06,151,71,302,9.594,10.811
48,1087,154,23.68,0,,,20,25976,3151,416.0,0,6318,30501,20.8,0.0,28,1.4,0.154,0.307,0.171,625,4184,460,14.106,109470,872,0.1,102,39,326,14.818,6.412
48,1087,154,23.6,0,,,20,25976,3151,416.0,0,6318,30501,20.8,0.0,28,1.4,0.154,0.307,0.171,625,4184,460,13.472,102310,779,0.09,102,39,326,14.279,6.846
46,1087,160,23.72,0,,,18,44189,5464,374.0,0,10095,51103,20.78,0.0,28,1.56,0.159,0.307,0.177,626,5634,409,9.851,61796,692,0.06,152,68,325,10.943,9.62
48,1087,154,23.72,0,,,20,25976,3151,416.0,0,6318,30501,20.8,0.0,28,1.4,0.154,0.307,0.171,625,4184,460,14.143,109928,870,0.1,102,39,326,14.746,6.576
46,1087,160,23.88,0,,,18,44189,5464,374.0,0,10095,51103,20.78,0.0,28,1.56,0.159,0.307,0.177,626,5634,409,9.574,58295,692,0.06,152,68,325,10.673,10.217
48,1087,154,23.65,0,,,20,25976,3151,416.0,0,6318,30501,20.8,0.0,28,1.4,0.154,0.307,0.171,625,4184,460,13.857,104026,872,0.1,102,39,326,14.483,6.556
46,1063,156,23.41,0,,,18,40730,5029,374.0,0,9191,47558,20.78,0.0,28,1.56,0.154,0.3,0.173,578,5517,411,8.243,51185,696,0.06,151,71,302,9.15,10.779
48,1046,144,23.3,0,,,20,24227,2698,416.0,0,6007,28423,20.8,0.0,28,1.4,0.144,0.295,0.16,570,5166,463,13.398,99374,783,0.1,106,43,290,14.096,6.83
48,1087,154,23.72,0,,,20,25976,3151,416.0,0,6318,30501,20.8,0.0,28,1.4,0.154,0.307,0.171,625,4184,460,13.507,105209,866,0.1,102,39,326,14.166,6.924
48,1087,154,23.41,0,,,20,25976,3151,416.0,0,6318,30501,20.8,0.0,28,1.4,0.154,0.307,0.171,625,4184,460,13.658,104568,872,0.1,102,39,326,14.364,6.565
46,1064,152,23.6,0,,,18,45588,5804,374.0,0,10658,52457,20.78,0.0,28,1.56,0.154,0.3,0.169,619,6150,412,8.563,50613,696,0.05,116,48,308,9.621,10.783
48,1087,154,23.38,0,,,20,25976,3151,416.0,0,6318,30501,20.8,0.0,28,1.4,0.154,0.307,0.171,625,4184,460,13.911,103020,868,0.1,102,39,326,14.63,6.302
56,1244,218,23.29,0,,,19,51268,6542,835.0,0,13441,59403,43.95,0.0,37,1.95,0.192,0.351,0.242,982,2348,351,6.157,45649,634,0.04,83,50,502,7.324,12.313
1292,1217,208,23.49,0,,,33,58517,8353,1952.0,0,13358,71787,59.15,0.0,1259,38.15,0.188,0.343,0.231,2778,24316,2307,8.004,9562,3738,0.17,308,125,473,8.973,10.054
56,1653,288,23.86,0,,,19,52199,6652,835.0,0,13686,60447,43.95,0.0,37,1.95,0.284,0.466,0.319,2123,2441,351,6.702,48685,669,0.04,83,50,813,7.802,12.37
48,1098,156,22.87,0,,,20,26503,3229,416.0,0,6451,31080,20.8,0.0,28,1.4,0.163,0.31,0.173,644,4184,460,12.566,95801,779,0.09,101,38,342,13.344,6.821
48,1087,154,23.19,0,,,20,25976,3151,416.0,0,6318,30501,20.8,0.0,28,1.4,0.154,0.307,0.171,625,4184,460,13.206,94250,872,0.1,102,39,326,13.908,6.682
1226,1043,144,23.89,0,,,32,53319,7657,1831.0,0,12127,65435,57.22,0.0,1194,37.31,0.144,0.294,0.16,704,20675,2191,8.409,9562,3541,0.18,306,119,292,9.515,9.875
