NoAffS,VL,VC,Time,Result
15,1374,4780,30.43,0
34,3974,13318,30.38,0
15,1374,4780,30.42,0
15,1374,4780,30.47,0
15,1374,4780,30.43,0
15,1374,4780,30.43,0
14,3974,13318,30.41,0
14,3974,13318,30.41,0
14,3974,13318,30.45,0
15,1374,4780,30.42,0
34,3974,13318,30.44,0
14,3974,13318,30.5,0
14,3974,13318,30.42,0
14,3974,13318,30.4,0
14,3974,13318,30.4,0
14,3974,13318,30.36,0
14,3974,13318,30.36,0
14,3974,13318,30.43,0
15,1374,4780,30.44,0
14,3974,13318,30.41,0
14,3974,13318,30.39,0
34,3974,13318,30.42,0
54,1436,5908,30.29,0
15,1374,4780,30.43,0
34,3974,13318,30.41,0
14,3974,13318,30.39,0
14,3974,13318,30.51,0
15,1374,4780,30.4,0
14,3974,13318,30.46,0
34,3974,13318,30.38,0
