NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
390,377,218,30.36,0,,,22
287,372,218,30.37,0,,,17
425,384,222,30.34,0,,,22
425,377,218,30.36,0,,,22
317,384,222,30.34,0,,,19
337,377,218,30.36,0,,,19
319,384,222,30.34,0,,,18
400,346,222,30.36,0,,,25
317,385,222,30.35,0,,,19
400,384,222,30.37,0,,,25
327,384,222,30.37,0,,,19
337,377,218,30.38,0,,,19
416,372,218,30.35,0,,,24
375,72,0,30.36,0,,,23
337,267,124,30.37,0,,,19
390,384,222,30.36,0,,,22
425,377,218,30.36,0,,,22
420,384,222,30.36,0,,,21
425,377,218,30.36,0,,,22
411,384,222,30.35,0,,,21
425,377,218,30.33,0,,,22
390,377,218,30.35,0,,,22
317,384,222,30.35,0,,,19
400,384,222,30.35,0,,,25
400,375,222,30.36,0,,,25
317,384,222,30.37,0,,,19
425,377,218,30.37,0,,,22
317,384,222,30.35,0,,,19
425,377,218,30.35,0,,,22
317,384,222,30.34,0,,,19
