NoAffS,VL,VC,Time,Result,AFC,SFC,NoR
2514,778,394,126.66,1,,,281
2514,778,394,123.17,1,,,281
1825,778,394,59.19,1,,,197
1675,778,394,36.32,1,,,171
344,772,390,30.35,0,,,32
1641,778,394,33.25,1,,,171
2336,778,394,62.63,1,,,238
1825,778,394,57.22,1,,,197
2090,778,394,75.22,1,,,167
1825,778,394,56.73,1,,,197
1825,778,394,57.83,1,,,197
272,772,390,30.35,0,,,35
2336,778,394,64.0,1,,,238
1825,778,394,60.25,1,,,197
1825,778,394,55.52,1,,,197
2217,778,394,208.4,1,,,240
1825,778,394,57.54,1,,,197
340,772,390,30.35,0,,,35
2232,778,394,136.23,1,,,250
1861,778,394,43.98,1,,,179
1825,778,394,58.87,1,,,197
196,654,318,30.34,0,,,23
1672,778,394,118.61,1,,,138
1825,778,394,57.12,1,,,197
277,783,394,30.33,0,,,44
357,772,390,30.34,0,,,33
2514,778,394,124.16,1,,,281
2336,778,394,61.86,1,,,238
251,772,390,30.32,0,,,26
2336,778,394,62.32,1,,,238
