"","NODES","EDGES","VARS","FUNCS","LOOPS","SMCC","CRT.S0","CPU.S0","TIM.S0","CRT.S10","CPU.S10","TIM.S10","CRT.S20","CPU.S20","TIM.S20","CRT.S30","CPU.S30","TIM.S30","CRT.S40","CPU.S40","TIM.S40","CRT.S50","CPU.S50","TIM.S50"
"2742",4581,5243,586,201,31,583,1,21.64381603,21.61881603,1,21.06437886,21.03937886,1,20.10705516,20.08205516,1,21.06437886,21.03937886,1,20.10705516,20.08205516,1,21.06437886,21.03937886
"2743",4574,5423,564,187,35,551,1,25.53248358,25.50548358,1,27.2756776,27.2486776,1,27.2756776,27.2486776,1,27.2756776,27.2486776,1,26.34355376,26.31655376,1,27.2756776,27.2486776
"2744",4501,5093,541,226,29,537,1,19.15140939,19.12540939,1,19.39125015,19.36525015,1,20.55781066,20.53181066,1,20.55781066,20.53181066,1,19.39125015,19.36525015,1,19.39125015,19.36525015
"2745",21639,26385,3444,667,121,3194,0,13.60303053,2000,0,14.18353234,2000,0,14.18353234,2000,0,14.18353234,2000,0,13.60303053,2000,0,14.18353234,2000
"2746",67973,97361,5739,1223,192,16317,0,26.89372596,2000,0,25.35517049,2000,0,25.00107825,2000,0,25.00107825,2000,0,25.35517049,2000,0,25.35517049,2000
"2747",23980,28533,4452,1054,219,3647,0,189.669227,2000,0,15.33266338,2000,0,15.33266338,2000,0,47.45819729,2000,0,15.33266338,2000,0,15.33266338,2000
"2748",12663,14667,2190,610,122,1788,1,85.81166353,85.77566353,1,90.4659089,90.4299089,1,90.4659089,90.4299089,1,90.4659089,90.4299089,1,90.4659089,90.4299089,1,90.4659089,90.4299089
"2749",42246,54596,5705,1176,276,7761,0,26.34728909,2000,0,20.3961269,2000,0,20.26619193,2000,0,20.26619193,2000,0,20.70158258,2000,0,20.70158258,2000
"2750",65509,87013,8056,1692,485,13112,0,28.44030111,2000,0,29.25729615,2000,0,27.66467286,2000,0,27.66467286,2000,0,27.74346235,2000,0,27.74346235,2000
"2751",9665,11219,1512,409,60,1102,0,9.956180215,2000,0,9.661076759,2000,0,9.661076759,2000,0,9.661076759,2000,0,9.661076759,2000,0,9.661076759,2000
"2752",9182,10878,1500,452,59,1273,1,32.79492844,32.76492844,1,32.63287595,32.60287595,1,32.63287595,32.60287595,1,32.63287595,32.60287595,1,33.08357011,33.05357011,1,32.63287595,32.60287595
"2753",20723,24500,3427,959,177,3023,0,22.00921684,2000,0,17.67247162,2000,0,17.67247162,2000,0,17.68253767,2000,0,17.67247162,2000,0,17.67247162,2000
"2754",22980,27361,4687,1146,150,2936,0,19.35904029,2000,0,14.63944359,2000,0,14.63944359,2000,0,14.77633237,2000,0,14.63944359,2000,0,14.63944359,2000
"2755",6127,7241,890,282,43,776,1,31.22081504,31.19381504,1,29.4520664,29.4250664,1,29.4520664,29.4250664,1,29.4520664,29.4250664,1,28.84116585,28.81416585,1,29.4520664,29.4250664
"2756",4457,5088,574,233,19,547,0,901.0379137,2000,0,900.9839604,2000,0,900.8394301,2000,0,900.8394301,2000,0,900.7769851,2000,0,900.7769851,2000
"2757",4082,4620,480,190,34,481,1,15.78433739,15.76033739,1,14.91931802,14.89531802,1,14.91931802,14.89531802,1,14.91931802,14.89531802,1,14.91931802,14.89531802,1,15.10911707,15.08511707
"2758",6999,8231,956,370,37,985,1,86.00885561,85.98085561,1,86.00885561,85.98085561,1,86.00885561,85.98085561,1,79.12530241,79.09730241,1,81.82856257,81.80056257,1,81.82856257,81.80056257
"2759",14619,17539,2296,632,125,2281,0,23.1489502,2000,0,13.03424565,2000,0,13.03424565,2000,0,12.39692459,2000,0,13.03424565,2000,0,12.39692459,2000
"2760",2757,3109,245,125,24,285,1,14.42937212,14.40837212,1,14.02126103,14.00026103,1,14.02126103,14.00026103,1,14.02126103,14.00026103,1,14.42937212,14.40837212,1,14.02126103,14.00026103
"2761",14380,17606,2010,630,43,2117,0,11.76935596,2000,0,18.33748484,2000,0,17.45377675,2000,0,17.45377675,2000,0,18.33748484,2000,0,17.56785752,2000
"2762",8179,9796,1087,332,29,1243,0,9.567741449,2000,0,13.4394998,2000,0,13.4394998,2000,0,13.4394998,2000,0,9.692368842,2000,0,9.567741449,2000
"2763",65684,85851,10034,2044,472,12823,0,30.93969205,2000,0,134.8832538,2000,0,133.243498,2000,0,133.243498,2000,0,133.7876297,2000,0,133.7876297,2000
"2764",5180,5964,697,244,46,647,1,20.76216802,20.73716802,1,22.27697406,22.25197406,1,22.27697406,22.25197406,1,22.27697406,22.25197406,1,21.32086787,21.29586787,1,22.27697406,22.25197406
"2765",4948,5705,565,208,27,587,0,14.15183823,2000,0,13.79252319,2000,0,14.15183823,2000,0,16.05498596,2000,0,14.69320708,2000,0,16.05498596,2000
"2766",16340,19404,2592,627,173,2373,1,200.6141086,200.5661086,1,197.4231145,197.3751145,1,196.5642449,196.5162449,1,196.5642449,196.5162449,1,197.4231145,197.3751145,1,196.5642449,196.5162449
"2767",5677,6666,659,265,36,728,1,493.155615,493.124615,1,454.1223963,454.0913963,1,454.1223963,454.0913963,1,454.1223963,454.0913963,1,454.1223963,454.0913963,1,515.2407412,515.2097412
"2768",6586,7607,885,368,28,922,1,19.44134609,19.38634609,1,18.29837087,18.24337087,1,18.29837087,18.24337087,1,18.29837087,18.24337087,1,18.45208557,18.39708557,1,18.29837087,18.24337087
"2769",4011,4486,475,178,18,430,0,25.89907987,2000,0,20.65839266,2000,0,25.89907987,2000,0,20.65839266,2000,0,25.89907987,2000,0,20.65839266,2000
"2770",4033,4637,520,187,27,432,1,18.52750108,18.50350108,1,17.57961226,17.55561226,1,17.57961226,17.55561226,1,17.57961226,17.55561226,1,17.57961226,17.55561226,1,17.57961226,17.55561226
"2771",4625,5368,551,185,11,508,1,20.62806051,20.60606051,1,19.73914713,19.71714713,1,19.73914713,19.71714713,1,19.73914713,19.71714713,1,20.24176873,20.21976873,1,20.24176873,20.21976873
"2772",4682,5568,494,204,19,532,1,42.67220522,42.64920522,1,39.02461121,39.00161121,1,39.02461121,39.00161121,1,39.02461121,39.00161121,1,39.02461121,39.00161121,1,39.02461121,39.00161121
"2773",5169,6024,729,236,22,660,1,20.41503201,20.39103201,1,18.38574608,18.36174608,1,18.38574608,18.36174608,1,18.38574608,18.36174608,1,18.38574608,18.36174608,1,18.75994553,18.73594553
"2774",6000,6947,852,289,24,819,0,13.20144752,2000,0,24.08095157,2000,0,13.20144752,2000,0,16.3947395,2000,0,13.20144752,2000,0,16.3947395,2000
"2775",8108,9720,1326,398,41,1123,1,152.4115054,152.3835054,1,152.1148719,152.0868719,1,152.4115054,152.3835054,1,147.6688093,147.6408093,1,147.6688093,147.6408093,1,147.6688093,147.6408093
"2776",9302,10607,1458,439,134,1221,1,26.63450627,26.60050627,1,25.12146064,25.08746064,1,25.12146064,25.08746064,1,25.12146064,25.08746064,1,25.12146064,25.08746064,1,25.12146064,25.08746064
"2777",6439,8275,562,237,33,1093,0,11.063172,2000,0,30.14407256,2000,0,30.14407256,2000,0,30.14407256,2000,0,23.09541295,2000,0,11.063172,2000
"2778",12180,14557,2067,432,80,1747,1,207.3903374,207.3543374,1,195.2976709,195.2616709,1,191.824448,191.788448,1,191.824448,191.788448,1,195.2976709,195.2616709,1,207.3903374,207.3543374
"2779",27072,32502,4699,1008,149,3966,1,123.4446337,123.3906337,1,120.0219414,119.9679414,1,134.1553187,134.1013187,1,134.1553187,134.1013187,1,126.0687327,126.0147327,1,126.0687327,126.0147327
"2780",16028,19118,2617,812,43,2332,0,900.7044037,2000,0,89.35506924,2000,0,89.35506924,2000,0,87.91517755,2000,0,87.91517755,2000,0,89.35506924,2000
"2781",21482,26950,4013,824,168,2948,1,461.1529433,461.0989433,1,460.3450521,460.2910521,1,471.0379086,470.9839086,1,460.3450521,460.2910521,1,460.3450521,460.2910521,1,460.3450521,460.2910521
"2782",17175,20410,1937,495,79,2229,0,25.34466646,2000,0,15.79790957,2000,0,14.52379292,2000,0,14.52379292,2000,0,25.34466646,2000,0,14.52379292,2000
"2783",25049,30934,3349,811,106,4423,0,43.85297847,2000,0,42.36126802,2000,0,43.63419645,2000,0,43.63419645,2000,0,43.85297847,2000,0,43.85297847,2000
"2784",16302,19616,2408,681,71,2377,0,21.43042655,2000,0,20.27247348,2000,0,20.19403222,2000,0,20.19403222,2000,0,20.27247348,2000,0,20.19403222,2000
"2785",23440,28732,3931,848,108,3633,0,18.4770686,2000,0,18.22040017,2000,0,17.11242721,2000,0,17.11242721,2000,0,16.11028638,2000,0,16.11028638,2000
"2786",17309,20869,2503,683,71,2661,0,31.82315885,2000,0,15.00730541,2000,0,31.82315885,2000,0,19.69670803,2000,0,19.57556295,2000,0,19.69670803,2000
"2787",16687,19754,2881,818,85,2295,0,17.36365581,2000,0,15.63340316,2000,0,16.15184244,2000,0,15.63340316,2000,0,15.63340316,2000,0,15.63340316,2000
"2788",9545,11167,1677,408,57,1388,0,71.46043613,2000,0,19.86751957,2000,0,71.46043613,2000,0,27.654707,2000,0,27.654707,2000,0,27.654707,2000
"2789",9746,11377,1773,476,91,1334,0,19.54775212,2000,0,12.12591717,2000,0,12.12591717,2000,0,12.12591717,2000,0,12.12591717,2000,0,12.12591717,2000
"2790",8201,9717,1076,282,18,1137,1,47.36614212,47.33214212,1,46.01047003,45.97647003,1,53.78564726,53.75164726,1,53.78564726,53.75164726,1,46.01047003,45.97647003,1,47.00488418,46.97088418
"2791",8881,10899,971,400,40,1035,0,54.53676515,2000,0,46.9164481,2000,0,46.9164481,2000,0,46.9164481,2000,0,46.9164481,2000,0,46.9164481,2000
"2792",8629,11148,1199,211,10,1538,0,9.116200283,2000,0,9.294173003,2000,0,9.334379824,2000,0,9.334379824,2000,0,9.115732358,2000,0,9.294173003,2000
"2793",19749,25214,3255,472,103,3298,0,15.53983028,2000,0,18.493622,2000,0,15.36612384,2000,0,15.36612384,2000,0,15.53983028,2000,0,15.53983028,2000
"2794",27828,35656,4554,539,232,4801,0,67.93427156,2000,0,65.42811173,2000,0,65.86819607,2000,0,65.86819607,2000,0,67.93427156,2000,0,67.93427156,2000
"2795",13605,15932,2242,623,55,1701,1,146.9923209,146.9493209,1,133.7810207,133.7380207,1,146.9923209,146.9493209,1,133.7810207,133.7380207,1,133.7810207,133.7380207,1,133.7810207,133.7380207
"2796",5827,6575,898,299,48,712,1,23.37708925,23.34408925,1,23.44537443,23.41237443,1,23.44537443,23.41237443,1,23.44537443,23.41237443,1,22.99853703,22.96553703,1,23.44537443,23.41237443
"2797",8567,10003,1364,252,62,1129,0,27.23224472,2000,0,36.46731338,2000,0,36.46731338,2000,0,36.46731338,2000,0,27.23224472,2000,0,36.46731338,2000
"2798",62011,92209,219,85,9,30241,1,35.96741774,35.84041774,1,33.49517376,33.36817376,1,35.96741774,35.84041774,1,35.96741774,35.84041774,1,34.90351172,34.77651172,1,34.18071687,34.05371687
"2799",10222,12366,1610,280,144,1302,1,48.67163753,48.63163753,1,46.04101797,46.00101797,1,46.04101797,46.00101797,1,46.04101797,46.00101797,1,48.67163753,48.63163753,1,46.04101797,46.00101797
"2800",15143,18819,2847,478,127,2222,0,27.40694741,2000,0,23.05021039,2000,0,23.05021039,2000,0,23.05021039,2000,0,27.40694741,2000,0,27.40694741,2000
"2801",17296,20960,3110,590,107,2478,1,153.1047155,153.0407155,1,138.9085834,138.8445834,1,142.1516142,142.0876142,1,142.1516142,142.0876142,1,138.9085834,138.8445834,1,142.1516142,142.0876142
"2802",76278,104289,9851,2215,235,15726,0,72.68864331,2000,0,91.78358947,2000,0,94.47253136,2000,0,94.47253136,2000,0,87.93970335,2000,0,87.93970335,2000
"2803",9005,10446,1210,380,46,1166,0,355.3563793,2000,0,708.9818193,2000,0,355.3563793,2000,0,900.6614085,2000,0,900.6614085,2000,0,900.6614085,2000
"2804",2394,2647,302,110,8,296,1,18.63854148,18.61254148,1,18.86824992,18.84224992,1,18.86824992,18.84224992,1,18.86824992,18.84224992,1,18.86824992,18.84224992,1,18.86824992,18.84224992
"2805",14128,17093,2396,531,83,2159,0,70.18713649,2000,0,13.13027219,2000,0,13.13027219,2000,0,13.13027219,2000,0,13.43934559,2000,0,13.13027219,2000
"2806",7278,8291,1061,382,20,924,0,9.893217944,2000,0,16.37568103,2000,0,9.893217944,2000,0,16.37568103,2000,0,9.893217944,2000,0,15.90971858,2000
"2807",8611,10241,1336,262,97,1222,0,16.32469912,2000,0,461.6534353,2000,0,461.6534353,2000,0,461.6534353,2000,0,16.32469912,2000,0,16.32469912,2000
"2808",13081,15590,2345,513,134,1932,0,409.8977385,2000,0,375.721952,2000,0,375.721952,2000,0,375.721952,2000,0,365.1749818,2000,0,375.721952,2000
"2809",4936,5775,758,179,57,580,0,19.54250415,2000,0,18.55568078,2000,0,18.55568078,2000,0,18.55568078,2000,0,18.55568078,2000,0,18.55568078,2000
"2810",16180,19647,2498,576,159,2318,0,669.4083553,2000,0,34.39606717,2000,0,31.19689125,2000,0,31.19689125,2000,0,34.39606717,2000,0,31.19689125,2000
"2811",9497,11755,1271,285,95,1639,0,29.1089083,2000,0,18.36813431,2000,0,18.36813431,2000,0,18.36813431,2000,0,29.1089083,2000,0,29.1089083,2000
"2812",17350,21466,3088,686,41,2599,0,16.2514136,2000,0,43.63219024,2000,0,16.2514136,2000,0,43.63219024,2000,0,16.2514136,2000,0,43.63219024,2000
"2813",2325,2553,291,103,14,265,1,420.2472084,420.2202084,1,503.0732049,503.0462049,1,503.0732049,503.0462049,1,503.0732049,503.0462049,1,503.0732049,503.0462049,1,503.0732049,503.0462049
"2814",24545,29992,4065,778,183,3734,0,26.29046718,2000,0,31.97499895,2000,0,29.2998547,2000,0,29.2998547,2000,0,26.29046718,2000,0,29.2998547,2000
"2815",8608,10325,1406,206,60,1339,0,208.7614007,2000,0,47.61076775,2000,0,34.60505279,2000,0,34.60505279,2000,0,208.7614007,2000,0,208.7614007,2000
"2816",37342,48052,5410,1088,198,6713,0,37.51983328,2000,0,44.79739451,2000,0,44.53962766,2000,0,44.53962766,2000,0,46.14777638,2000,0,46.14777638,2000
"2817",10146,11840,1648,324,58,1380,0,21.74389342,2000,0,21.23179288,2000,0,21.23179288,2000,0,21.23179288,2000,0,21.74389342,2000,0,21.74389342,2000
"2818",8383,9964,1199,224,28,1287,0,19.72146025,2000,0,22.48662957,2000,0,22.48662957,2000,0,22.48662957,2000,0,19.72146025,2000,0,19.72146025,2000
"2819",5162,5868,829,266,24,630,0,15.10541645,2000,0,36.55315338,2000,0,36.55315338,2000,0,36.55315338,2000,0,13.1198701,2000,0,36.55315338,2000
"2820",27796,33877,3725,647,163,3001,0,111.3257056,2000,0,137.7349565,2000,0,120.7359208,2000,0,138.3527193,2000,0,111.3257056,2000,0,138.3527193,2000
"2821",24873,30750,3472,519,118,2805,0,364.953813,2000,0,356.4695477,2000,0,327.0301955,2000,0,327.0301955,2000,0,364.953813,2000,0,327.0301955,2000
"2822",56782,69637,9549,1770,119,7310,0,253.3127447,2000,0,65.37446425,2000,0,36.89815858,2000,0,36.89815858,2000,0,900.7993336,2000,0,900.7993336,2000
"2823",8578,9950,1278,318,25,958,0,99.22385036,2000,0,170.6239491,2000,0,99.22385036,2000,0,195.2112757,2000,0,195.2112757,2000,0,209.0358436,2000
"2824",32077,39002,4771,1028,89,3824,1,423.7809053,423.7059053,1,392.8858469,392.8108469,1,380.1204327,380.0454327,1,380.1204327,380.0454327,1,398.5046711,398.4296711,1,398.5046711,398.4296711
"2825",30169,39070,4641,591,179,4472,0,875.3006168,2000,0,518.2265726,2000,0,44.22053462,2000,0,44.22053462,2000,0,875.3006168,2000,0,875.3006168,2000
"2826",5861,6678,724,249,45,782,1,32.75255717,32.71555717,1,33.49595892,33.45895892,1,33.49595892,33.45895892,1,33.49595892,33.45895892,1,33.49595892,33.45895892,1,33.49595892,33.45895892
"2827",11196,13191,2013,403,118,1599,0,70.35611083,2000,0,83.93899647,2000,0,83.93899647,2000,0,83.93899647,2000,0,83.93899647,2000,0,83.45474869,2000
"2828",9058,10542,1253,408,26,1297,0,26.15432915,2000,0,23.1405847,2000,0,26.15432915,2000,0,18.46432327,2000,0,19.45234331,2000,0,23.1405847,2000
"2829",9711,11171,1562,479,33,1256,1,135.7899792,135.7459792,1,134.7582952,134.7142952,1,135.7899792,135.7459792,1,134.7582952,134.7142952,1,134.7582952,134.7142952,1,134.3631555,134.3191555
"2830",14912,17621,2367,527,68,2161,0,122.285396,2000,0,118.110701,2000,0,118.110701,2000,0,118.110701,2000,0,117.1257346,2000,0,118.110701,2000
"2831",49349,61271,7874,1561,188,7546,0,428.6526053,2000,0,426.8090683,2000,0,436.3457559,2000,0,436.3457559,2000,0,436.3457559,2000,0,436.3457559,2000
"2832",7095,8483,1255,322,42,990,0,74.63238182,2000,0,14.96401922,2000,0,74.63238182,2000,0,19.24996488,2000,0,19.24996488,2000,0,19.24996488,2000
"2833",2497,2848,306,107,15,322,1,25.38056187,25.35256187,1,25.42896895,25.40096895,1,25.01024985,24.98224985,1,25.01024985,24.98224985,1,25.42896895,25.40096895,1,25.42896895,25.40096895
"2834",7657,9833,670,188,25,1343,1,215.1169853,215.0769853,1,195.820862,195.780862,1,207.7520028,207.7120028,1,207.7520028,207.7120028,1,215.1169853,215.0769853,1,215.1169853,215.0769853
