"","NODES","EDGES","VARS","FUNCS","LOOPS","SMCC","CRT.S0","CPU.S0","TIM.S0","CRT.S10","CPU.S10","TIM.S10","CRT.S20","CPU.S20","TIM.S20","CRT.S30","CPU.S30","TIM.S30","CRT.S40","CPU.S40","TIM.S40","CRT.S50","CPU.S50","TIM.S50"
"2009",232,236,13,20,1,29,1,3.948360841,3.931360841,1,3.990112383,3.973112383,1,3.990112383,3.973112383,1,3.952852346,3.935852346,1,3.952852346,3.935852346,1,3.990112383,3.973112383
"2010",232,236,13,20,1,29,1,3.938593716,3.921593716,1,4.059475653,4.042475653,1,4.059475653,4.042475653,1,3.861681474,3.844681474,1,3.861681474,3.844681474,1,4.059475653,4.042475653
"2011",232,236,13,20,1,29,1,3.954978195,3.937978195,1,4.027284437,4.010284437,1,4.027284437,4.010284437,1,4.055259614,4.038259614,1,4.055259614,4.038259614,1,4.027284437,4.010284437
"2012",232,236,13,20,1,29,1,4.330682378,4.310682378,1,4.218192844,4.198192844,1,4.218192844,4.198192844,1,4.336458436,4.316458436,1,4.336458436,4.316458436,1,4.218192844,4.198192844
"2013",232,236,13,20,1,29,1,4.418111286,4.399111286,1,4.464795225,4.445795225,1,4.464795225,4.445795225,1,4.302229813,4.283229813,1,4.302229813,4.283229813,1,4.464795225,4.445795225
"2014",232,236,13,20,1,29,1,4.35800435,4.33900435,1,4.518089847,4.499089847,1,4.518089847,4.499089847,1,4.306758562,4.287758562,1,4.306758562,4.287758562,1,4.518089847,4.499089847
"2015",232,236,13,20,1,29,1,4.330122949,4.310122949,1,4.396463506,4.376463506,1,4.396463506,4.376463506,1,4.567974936,4.547974936,1,4.567974936,4.547974936,1,4.396463506,4.376463506
"2016",232,236,13,20,1,29,1,4.446022869,4.426022869,1,4.463098603,4.443098603,1,4.463098603,4.443098603,1,4.550126026,4.530126026,1,4.550126026,4.530126026,1,4.463098603,4.443098603
"2017",232,236,13,20,1,29,1,4.360374366,4.341374366,1,4.380370819,4.361370819,1,4.380370819,4.361370819,1,4.377711234,4.358711234,1,4.377711234,4.358711234,1,4.380370819,4.361370819
"2018",232,236,13,20,1,29,1,4.393272186,4.372272186,1,4.527480979,4.506480979,1,4.527480979,4.506480979,1,4.335694544,4.314694544,1,4.335694544,4.314694544,1,4.527480979,4.506480979
"2019",232,236,13,20,1,29,1,4.215425293,4.195425293,1,4.70274396,4.68274396,1,4.70274396,4.68274396,1,4.519450661,4.499450661,1,4.519450661,4.499450661,1,4.70274396,4.68274396
"2020",232,236,13,20,1,29,1,4.324285434,4.304285434,1,4.522921487,4.502921487,1,4.522921487,4.502921487,1,4.390758513,4.370758513,1,4.390758513,4.370758513,1,4.522921487,4.502921487
"2021",232,236,13,20,1,29,1,3.916882348,3.899882348,1,3.985396921,3.968396921,1,3.985396921,3.968396921,1,3.922495933,3.905495933,1,3.922495933,3.905495933,1,3.985396921,3.968396921
"2022",232,236,13,20,1,29,1,4.495172892,4.475172892,1,4.471635163,4.451635163,1,4.471635163,4.451635163,1,4.495457716,4.475457716,1,4.495457716,4.475457716,1,4.471635163,4.451635163
"2023",232,236,13,20,1,29,1,4.471912287,4.451912287,1,4.480137523,4.460137523,1,4.480137523,4.460137523,1,4.374525224,4.354525224,1,4.374525224,4.354525224,1,4.480137523,4.460137523
"2024",232,236,13,20,1,29,1,4.402835802,4.383835802,1,4.537288571,4.518288571,1,4.537288571,4.518288571,1,4.437375009,4.418375009,1,4.437375009,4.418375009,1,4.537288571,4.518288571
"2025",232,236,13,20,1,29,1,4.493056518,4.473056518,1,4.395849557,4.375849557,1,4.395849557,4.375849557,1,4.483648737,4.463648737,1,4.483648737,4.463648737,1,4.395849557,4.375849557
"2026",232,236,13,20,1,29,1,4.2551122,4.2351122,1,4.311911266,4.291911266,1,4.311911266,4.291911266,1,4.518441655,4.498441655,1,4.518441655,4.498441655,1,4.311911266,4.291911266
"2027",232,236,13,20,1,29,1,4.576048895,4.557048895,1,4.446438407,4.427438407,1,4.446438407,4.427438407,1,4.562671191,4.543671191,1,4.562671191,4.543671191,1,4.446438407,4.427438407
"2028",232,236,13,20,1,29,1,4.557315975,4.537315975,1,4.305837817,4.285837817,1,4.305837817,4.285837817,1,4.339787938,4.319787938,1,4.339787938,4.319787938,1,4.305837817,4.285837817
"2029",232,236,13,20,1,29,1,4.350083516,4.330083516,1,4.558029144,4.538029144,1,4.558029144,4.538029144,1,4.529536704,4.509536704,1,4.529536704,4.509536704,1,4.558029144,4.538029144
"2030",232,236,13,20,1,29,1,4.657613506,4.638613506,1,4.257058407,4.238058407,1,4.257058407,4.238058407,1,4.429943183,4.410943183,1,4.429943183,4.410943183,1,4.257058407,4.238058407
"2031",232,236,13,20,1,29,1,4.259074743,4.240074743,1,4.578480198,4.559480198,1,4.578480198,4.559480198,1,4.355966964,4.336966964,1,4.355966964,4.336966964,1,4.578480198,4.559480198
"2032",232,236,13,20,1,29,1,4.480923496,4.460923496,1,4.386261124,4.366261124,1,4.386261124,4.366261124,1,4.429647776,4.409647776,1,4.429647776,4.409647776,1,4.386261124,4.366261124
"2033",232,236,13,20,1,29,1,4.511621552,4.491621552,1,4.397896481,4.377896481,1,4.397896481,4.377896481,1,4.497888864,4.477888864,1,4.497888864,4.477888864,1,4.397896481,4.377896481
"2034",232,236,13,20,1,29,1,4.495443658,4.475443658,1,4.414544034,4.394544034,1,4.414544034,4.394544034,1,4.536569861,4.516569861,1,4.536569861,4.516569861,1,4.414544034,4.394544034
"2035",232,236,13,20,1,29,1,4.548368606,4.528368606,1,4.632430097,4.612430097,1,4.632430097,4.612430097,1,4.353507487,4.333507487,1,4.353507487,4.333507487,1,4.632430097,4.612430097
"2036",232,236,13,20,1,29,1,4.254621945,4.235621945,1,4.589844466,4.570844466,1,4.589844466,4.570844466,1,4.568783673,4.549783673,1,4.568783673,4.549783673,1,4.589844466,4.570844466
"2037",232,236,13,20,1,29,1,4.532941011,4.513941011,1,4.415082861,4.396082861,1,4.415082861,4.396082861,1,4.499791646,4.480791646,1,4.499791646,4.480791646,1,4.415082861,4.396082861
"2038",232,236,13,20,1,29,1,4.381921081,4.362921081,1,4.547648215,4.528648215,1,4.547648215,4.528648215,1,4.563492534,4.544492534,1,4.563492534,4.544492534,1,4.547648215,4.528648215
"2039",232,236,13,20,1,29,1,4.577411446,4.557411446,1,4.60637091,4.58637091,1,4.60637091,4.58637091,1,4.526757028,4.506757028,1,4.526757028,4.506757028,1,4.60637091,4.58637091
"2040",232,236,13,20,1,29,1,4.456604155,4.437604155,1,4.496651747,4.477651747,1,4.496651747,4.477651747,1,4.389474285,4.370474285,1,4.389474285,4.370474285,1,4.496651747,4.477651747
"2041",232,236,13,20,1,29,1,4.053496937,4.035496937,1,3.987387639,3.969387639,1,3.987387639,3.969387639,1,3.929337382,3.911337382,1,3.929337382,3.911337382,1,3.987387639,3.969387639
"2042",232,236,13,20,1,29,1,3.214120511,3.200120511,1,3.295327205,3.281327205,1,3.295327205,3.281327205,1,3.328181271,3.314181271,1,3.328181271,3.314181271,1,3.295327205,3.281327205
"2043",232,236,13,20,1,29,1,4.058302941,4.041302941,1,3.948234522,3.931234522,1,3.948234522,3.931234522,1,3.912613695,3.895613695,1,3.912613695,3.895613695,1,3.948234522,3.931234522
"2044",4248,4481,909,73,2,193,1,10.68639005,10.66739005,1,10.68639005,10.66739005,1,10.68639005,10.66739005,1,10.78852289,10.76952289,1,10.68639005,10.66739005,1,10.68639005,10.66739005
