NoAffS,VL,VC,Time,Result
15,1488,4564,30.38,0
22,8020,23766,30.42,0
22,8020,23766,30.36,0
22,8020,23766,30.38,0
22,8020,23766,30.41,0
22,8020,23766,30.44,0
22,8020,23766,30.4,0
22,8020,23766,30.41,0
22,8020,23766,30.35,0
15,1488,4564,30.41,0
23,8020,23766,30.35,0
23,8020,23766,30.44,0
15,1488,4564,30.45,0
22,8020,23766,30.33,0
23,8020,23766,30.35,0
15,1488,4564,30.44,0
23,8020,23766,30.34,0
62,8020,23766,30.35,0
15,1488,4564,30.41,0
62,8020,23766,30.38,0
23,8020,23766,30.35,0
62,8020,23766,30.35,0
22,8020,23766,30.36,0
22,8020,23766,30.34,0
15,1488,4564,30.42,0
15,1488,4564,30.42,0
23,8020,23766,30.37,0
62,8020,23766,30.38,0
23,8020,23766,30.36,0
22,8020,23766,30.38,0
